Name,Value,Min,Max,Type,Description
Weekend Maintenance End Day,6,6,6,int,"Weekend maintenance end day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 6 (Sunday)"
Weekend Maintenance End Time (HH:MM),18:00,18:00,18:00,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET)
Maintenance Buffer Minutes,1,1,60,int,Minutes before/after maintenance to exit/block trading
Err:510,,,,,
Initial Stop Loss (%),3.2998,0.05,5,float,Fixed stop loss
Enable Trailing Stop,1,0,1,int,Use ATR trailing stop
ATR Length for Trailing Stop,3,3,30,int,ATR period for trailing
ATR Multiplier for Trailing Stop,8,1.5,8,float,Trailing distance
Trailing Delay (bars),39,0,50,int,Wait before trailing starts
Take Profit ATR Multiplier,0.8403,0,3,float,Optional Take Profit (0=None)
Err:510,,,,,
POP_SIZE,300,50,250,int,Population size
NUM_GEN,300,50,150,int,Number of generations
CX_PB,0.7,0.5,0.9,float,Crossover probability
MUT_PB,0.4,0.2,0.5,float,Mutation probability
MUT_MU,0,-1,1,float,Mutation mean
MUT_SIGMA,0.25,0.1,0.4,float,Mutation std dev
TARGET_TRADES_DAY,2,1,5,int,Ideal trades/day (Trend is slower)
TRADES_PENALTY_WEIGHT,0.3,0.1,0.8,float,Penalty for excess trades
DD_WEIGHT,0.5,0.2,0.8,float,Drawdown penalty weight
DATA_SPLITS,0.65,0.6,0.7,float,In-sample fraction per period
DATA_SIZE,0,0,10000000,int,Rows to subsample (0 = full dataset)
,,,,,
USE_INTERLEAVED_SPLIT,true,false,true,bool,Use interleaved IS/OOS periods instead of single split
NUM_SPLIT_PERIODS,11,3,15,int,Number of alternating periods (IS-OOS-IS-OOS-IS)
MIN_TRADES_DAY,1,0.5,2,float,MUST have at least 1.0 trades/day
MIN_PROFIT_PER_TRADE,25,,,float,Hard Limit: Minimum accepted Profit Per Trade margin strictly enforced under slippage penalty
MIN_TRADES_PEN_WEIGHT,-500,-200,-50,float,Scalar penalty — zero trades = -50
NORM_SORTINO_MAX,10,5,20,float,Normalization range for Sortino Ratio
NORM_DD_MAX,50000,50000,200000,float,Normalization range for Max Drawdown in dollars
NORM_PF_MAX,2,3,10,float,Normalization range for Profit Factor
NORM_TRADES_MAX,3,1,5,float,Normalization range for Avg Trades/Day
NORM_PNL_MAX,200000,100000,1000000,float,Normalization range for Total Profit in dollars
NORM_PROFIT_TRADE_MAX,200,100,500,float,Normalization range for Avg Profit Per Trade
MIN_WIN_RATE,0.35,0.3,0.5,float,Minimum win rate threshold (trend following is often lower WR)
SORTINO_CAP,10,5,20,float,Maximum Sortino value before capping
GA_START_DATE,2020-01-02,,,str,Start date for GA backtest
GA_END_DATE,2025-10-10,,,str,End date for GA backtest
WEIGHT_SORTINO,1,,,float,Fitness weight: Sortino Ratio
WEIGHT_DRAWDOWN,-1,,,float,Fitness weight: Max Drawdown
WEIGHT_PF,1,,,float,Fitness weight: Profit Factor
WEIGHT_TRADES,5,,,float,Fitness weight: Avg Trades/Day
WEIGHT_PNL,2,,,float,Fitness weight: Total Profit
WEIGHT_PPT,2,,,float,Fitness weight: Avg Profit/Trade
MIN_TRADE_DURATION,2,,,float,Hard Limit: Min avg minutes per trade
MAX_WIN_RATE_CAP,0.95,,,float,Hard Limit: Max win rate before penalty
LIMIT_MAX_LOSS,50000,,,float,Hard Limit: Severe loss penalty threshold
LIMIT_MIN_SORTINO,1,,,float,Hard Limit: Severe Sortino penalty threshold
