Name,Value,Min,Max,Type,Description
Weekend Maintenance End Time (HH:MM),06:00:00 PM,06:00:00 PM,06:00:00 PM,str,Weekend maintenance end time (Eastern)
Maintenance Buffer Minutes,15,5,30,int,Minutes before/after maintenance to exit/block trading
=== Exit Logic ===,,,,,
Channel Exit Sell Lookback (bars),10,5,15,int,Tighter channel exits (not 30-max whipsaw)
Channel Exit Buy Lookback (bars),10,5,15,int,Tighter channel exits
Channel Exit ATR Offset,0.25,0,0.75,float,Modest exit buffer
Initial Stop Loss (%),0.6,0.3,1.5,float,Wider initial stop band
Enable Trailing Stop,1,0,1,int,Compare trail-on vs channel-only archetypes
ATR Length for Trailing Stop,14,7,21,int,ATR period for trailing stop
ATR Multiplier for Trailing Stop,3.5,2.5,5,float,Away from 1.5-min and failed tight trail corner
Trailing Delay (bars),6,4,10,int,Min 4 bars — away from delay=2 corner
Trailing Delay (minutes),0,0,0,int,Unused; bars gene active
Take Profit ATR Multiplier,0,0,3,float,0=disabled; cap 3 away from TP=6 corner
=== GA Criteria ===,,,,,
POP_SIZE,500,500,500,int,Population size
NUM_GEN,300,300,300,int,Number of generations
CX_PB,0.55,0.55,0.55,float,Lower crossover — retain diverse parents longer
MUT_PB,0.5,0.5,0.5,float,Higher mutation for exploration
MUT_MU,0,0,0,float,Mutation mean
MUT_SIGMA,0.4,0.4,0.4,float,Wider Gaussian mutations
TARGET_TRADES_DAY,1.2,1.2,1.2,float,Moderate trade frequency target
TRADES_PENALTY_WEIGHT,0.35,0.35,0.35,float,Penalty for excess trades
DD_WEIGHT,0.5,0.5,0.5,float,Drawdown penalty weight
DATA_SPLITS,0.65,0.65,0.65,float,In-sample fraction per interleaved period
DATA_SIZE,0,0,0,int,Rows to subsample (0 = full dataset)
USE_INTERLEAVED_SPLIT,TRUE,TRUE,TRUE,bool,Interleaved IS/OOS (OOS not in fitness)
NUM_SPLIT_PERIODS,11,11,11,int,Alternating IS/OOS slices
MIN_TRADES_DAY,0.5,0.5,0.5,float,Lower floor — core Donchian may trade less
MIN_PROFIT_PER_TRADE,25,25,25,float,Minimum accepted profit per trade
MIN_TRADES_PEN_WEIGHT,-200,-200,-200,float,Scalar penalty when trades/day below MIN_TRADES_DAY
NORM_SORTINO_MAX,10,10,10,float,Normalization cap for Sortino ratio
NORM_DD_MAX,100000,100000,100000,float,Normalization cap for max drawdown ($)
NORM_PF_MAX,3,3,3,float,Normalization cap for profit factor
NORM_TRADES_MAX,2,2,2,float,Normalization cap for avg trades/day
NORM_PNL_MAX,200000,200000,200000,float,Lower PnL cap — reduce IS PnL domination
NORM_PROFIT_TRADE_MAX,150,150,150,float,Normalization cap for avg profit per trade ($)
MIN_WIN_RATE,0.35,0.35,0.35,float,Minimum win rate threshold
SORTINO_CAP,10,10,10,float,Maximum Sortino before capping
GA_START_DATE,2020-01-02,2020-01-02,2020-01-02,str,Start date for GA backtest window
GA_END_DATE,2025-10-10,2025-10-10,2025-10-10,str,End date for GA backtest window
GA_LIVE_STYLE_ENTRY,1,1,1,int,LOCKED: enter at signal-bar close (live parity)
GA_CONSERVATIVE_STOP_SLIPPAGE,1,1,1,float,LOCKED: extra stop-loss slippage pts
GA_CONSERVATIVE_ENTRY_SLIPPAGE,1,1,1,float,LOCKED: extra entry slippage pts
GA_CONSERVATIVE_CHANNEL_SLIPPAGE,0.25,0.25,0.25,float,LOCKED: extra channel-exit slippage pts
GA_PESSIMISTIC_STOPS,1,1,1,int,LOCKED: pessimistic stop sim
GA_DIVERSE_SEED,1,1,1,int,Seed 60% of pop with stratified archetypes (fresh run only)
GA_DIVERSE_SEED_FRACTION,0.6,0.6,0.6,float,Fraction of initial pop from archetypes
WEIGHT_SORTINO,1,,,float,Fitness weight: Sortino ratio
WEIGHT_DRAWDOWN,-1.5,,,float,Fitness weight: max drawdown (stronger)
WEIGHT_PF,2,,,float,Fitness weight: profit factor
WEIGHT_TRADES,1,,,float,Fitness weight: avg trades/day
WEIGHT_PNL,0.5,,,float,Fitness weight: total profit (reduced IS overfit)
WEIGHT_PPT,1,,,float,Fitness weight: avg profit per trade
MIN_TRADE_DURATION,42,42,42,float,Min avg hold ~3 bars at TF=14
MAX_WIN_RATE_CAP,0.88,0.88,0.88,float,Tighter suspicious win-rate cap
LIMIT_MAX_LOSS,50000,50000,50000,float,Severe loss penalty threshold ($)
LIMIT_MIN_SORTINO,0.5,0.5,0.5,float,Severe Sortino penalty threshold
ENABLE_FILTER_STACK_TRADE_PENALTY,0,0,0,int,Off — filters fixed in this phase
INTERACTION_PENALTY_STRENGTH,0.5,0.5,0.5,float,Unused when filter penalty off
INTERACTION_LOW_TRADES_BASE,0.5,0.5,0.5,float,Unused when filter penalty off
INTERACTION_LOW_TRADES_PER_FILTER,0.2,0.2,0.2,float,Unused when filter penalty off
INTERACTION_MIN_FILTERS,2,2,2,int,Unused when filter penalty off
