Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78
Dissipation (per bar),0.25,0.05,2.0,float,Linear strength loss per bar (max(0 strength - d)),0.8039,0.8039,0.8039,0.5694,0.05,0.6616,0.8039,0.8039,0.8039,0.7785,0.7785,0.6616,0.6616,0.6616,0.6616,0.6616,0.6616,0.6616,0.6616,0.5694,0.05,0.8208,0.6685,0.8039,0.05,0.05,0.05,0.6685,0.6685,0.6685,0.05,0.5122,0.5122,0.6685,0.6685,0.05,0.6566,0.5271,0.4085,0.5616,0.5233,0.5373,0.4962,0.4423,0.4799,0.4799,0.4831,0.4831,0.5122,0.05,0.4708,0.05,0.4194,0.4194,0.5122,0.4619,0.5122,0.5122,0.3269,0.3269,0.3313,0.3269,0.05,0.4762,0.05,0.05,0.05,0.05,0.0619,0.4389,0.5549,0.4168,0.2854,0.05,0.3556,0.05,0.05,0.2874,0.1765
Stop Pad ATR,0.15,0.0,0.50,float,Stop beyond origin zone edge in ATR,0.24,0.5,0.5,0.0,0.3181,0.4897,0.0,0.0,0.0,0.4831,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.495,0.038,0.5,0.5,0.5,0.2363,0.1611,0.1611,0.2876,0.0953,0.0953,0.3199,0.334,0.334,0.2876,0.2876,0.2609,0.2955,0.1388,0.4212,0.467,0.0,0.2602,0.1305,0.5,0.5,0.5,0.4805,0.4805,0.3954,0.5,0.2511,0.3828,0.4967,0.4495,0.0,0.4719,0.334,0.334,0.4564,0.4564,0.0,0.2169,0.4162,0.4162,0.3212,0.3843,0.3843,0.3843,0.2918,0.2091,0.0,0.3412,0.0,0.5,0.0,0.2996,0.2996,0.0773,0.3753
Max Hold (bars),24,6,60,int,Time exit,43,43,43,36,28,54,43,44,43,43,43,54,54,54,54,54,54,54,54,36,32,43,43,43,33,33,33,43,43,43,27,42,42,43,43,27,42,43,45,42,42,42,43,32,38,38,44,43,42,42,39,38,46,46,42,42,42,42,43,43,43,43,43,43,42,41,41,41,43,38,38,38,38,42,40,42,42,43,43
Min Opposite Zone Dist (ATR),0.5,0.5,0.5,float,LOCKED min room entry→opposite zone (ATR); blocks micro post-entry TP,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Entry Headroom (ATR),0.5,0.0,2.5,float,Min clearance entry→next strong opposite zone (ATR); 0=off; overlap-aware,1.9255,1.9255,1.9255,2.0487,2.0136,0.6858,1.9255,1.9255,1.9255,1.6333,1.6838,0.6858,0.6858,0.6858,0.6157,0.6858,0.6858,0.6858,0.6858,2.0487,2.3432,2.0111,1.8986,1.305,1.6116,1.6688,1.6688,1.7942,2.0224,1.7942,2.0136,2.3581,2.3581,1.8999,1.8999,2.0136,1.3886,2.1359,1.3334,2.5,2.5,1.4344,1.9574,1.746,2.0633,2.0633,1.6251,1.6251,2.4237,2.282,2.1413,1.4932,2.0749,2.0749,2.4237,2.5,2.4237,2.4237,1.522,1.522,1.6915,1.522,1.7786,1.7786,1.833,1.7819,1.7819,1.7033,0.9911,2.1513,1.2536,1.2732,1.6862,0.6202,1.6945,0.5855,0.5855,1.9574,0.7109
=== Filters ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable RTH Filter,1,1,1,int,LOCKED RTH only,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RTH Start (HH:MM),09:30,,,str,RTH open Eastern,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30
RTH End (HH:MM),16:00,,,str,RTH close Eastern,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00
RTH Exit Buffer (minutes),5,5,5,int,LOCKED flatten before close,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Enable Maintenance Filter,1,1,1,int,LOCKED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daily Maintenance Start (HH:MM),17:00,,,str,Daily maintenance start,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00
Daily Maintenance End (HH:MM),17:30,,,str,Daily maintenance end,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30
Weekend Maintenance Start Day,4,4,4,int,Friday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Weekend Maintenance Start Time (HH:MM),17:00,,,str,Friday maintenance start,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00
Weekend Maintenance End Day,6,6,6,int,Sunday,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Weekend Maintenance End Time (HH:MM),18:00,,,str,Sunday maintenance end,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00
Maintenance Buffer Minutes,22,22,22,int,LOCKED buffer around maintenance,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
=== Exit Logic ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Stop Loss,1,1,1,int,LOCKED origin-zone stop on,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stop ATR Multiplier,1.0,1.0,1.0,float,Unused (stop from zone edge + pad),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Enable Take Profit,0,0,0,int,LOCKED off (opposite-zone exit),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Take Profit ATR Multiplier,2.0,2.0,2.0,float,Unused,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Enable Trailing Stop,0,0,0,int,LOCKED off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trailing Delay (bars),1,1,1,int,Unused,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATR Multiplier for Trailing Stop,2.0,2.0,2.0,float,Unused,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
=== GA Criteria ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP_SIZE,150,150,150,int,Short diagnostic pop,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
NUM_GEN,25,25,25,int,Short diagnostic gens,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
CX_PB,0.5,0.5,0.5,float,Crossover,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
MUT_PB,0.4,0.4,0.4,float,Mutation,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
MUT_MU,0,0,0,float,Mutation mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUT_SIGMA,0.3,0.3,0.3,float,Mutation sigma,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
TARGET_TRADES_DAY,1.5,1.5,1.5,float,Activity target,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
TRADES_PENALTY_WEIGHT,0.25,0.25,0.25,float,Excess trade penalty,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
DD_WEIGHT,0.5,0.5,0.5,float,Drawdown weight,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
DATA_SPLITS,0.65,0.65,0.65,float,IS fraction,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
DATA_SIZE,0,0,0,int,0 = full history,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
