Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79
Dissipation (per bar),0.25,0.05,2.0,float,Linear strength loss per bar (max(0 strength - d)),0.7971,0.6226,0.6428,0.6268,0.6255,0.7945,0.6443,0.6267,0.6268,0.6268,0.6268,0.6226,0.6385,0.6385,0.6055,0.6276,0.6047,0.6385,0.6423,0.6226,0.6226,0.6203,0.6411,0.6099,0.6215,0.6216,0.631,0.6705,0.6667,0.6416,0.5959,0.5277,0.5999,0.6254,0.7183,0.6129,0.6226,0.6226,0.6226,0.6226,0.6258,0.6226,0.6226,0.6232,0.6224,0.6226,0.6226,0.6218,0.6226,0.381,0.05,0.7892,0.7856,0.05,0.05,0.7856,0.2133,0.05,0.7704,0.05,0.7704,0.3475,0.0677,0.05,0.05,0.05,0.05,0.0677,0.365,0.05,0.6573,0.6573,0.05,0.05,0.05,0.7573,0.0677,0.05,0.0677,0.7573
Stop Pad ATR,0.15,0.0,0.50,float,Stop beyond origin zone edge in ATR,0.5,0.0,0.0741,0.0322,0.0,0.5,0.0,0.1423,0.1411,0.1411,0.1411,0.4418,0.1327,0.1327,0.1411,0.4768,0.1484,0.1032,0.5,0.1088,0.1088,0.033,0.015,0.1432,0.1513,0.4223,0.5,0.0,0.5,0.0554,0.0997,0.0,0.0997,0.0,0.457,0.1951,0.5,0.5,0.5,0.1104,0.1299,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.1459,0.358,0.0,0.1444,0.5,0.5,0.1918,0.0,0.5,0.3824,0.492,0.3824,0.147,0.3005,0.4581,0.4099,0.5,0.4258,0.3005,0.3772,0.4258,0.1432,0.1432,0.4151,0.4112,0.5,0.1411,0.3005,0.5,0.3005,0.1411
Max Hold (bars),24,6,60,int,Time exit,41,42,42,42,42,42,42,42,42,42,42,41,42,42,42,42,42,41,42,41,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,42,42,42,42,41,42,42,41,42,42,42,42,41,42,42,41,42,53,42,49,42,21,48,13,13,13,13,48,42,13,42,42,42,42,13,42,48,13,48,42
=== Filters ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable RTH Filter,1,1,1,int,LOCKED RTH only,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RTH Start (HH:MM),09:30,,,str,RTH open Eastern,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30,09:30
RTH End (HH:MM),16:00,,,str,RTH close Eastern,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00
RTH Exit Buffer (minutes),5,5,5,int,LOCKED flatten before close,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Enable Maintenance Filter,1,1,1,int,LOCKED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daily Maintenance Start (HH:MM),17:00,,,str,Daily maintenance start,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00
Daily Maintenance End (HH:MM),17:30,,,str,Daily maintenance end,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30,17:30
Weekend Maintenance Start Day,4,4,4,int,Friday,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Weekend Maintenance Start Time (HH:MM),17:00,,,str,Friday maintenance start,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00
Weekend Maintenance End Day,6,6,6,int,Sunday,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Weekend Maintenance End Time (HH:MM),18:00,,,str,Sunday maintenance end,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00,18:00
Maintenance Buffer Minutes,22,22,22,int,LOCKED buffer around maintenance,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
=== Exit Logic ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable Stop Loss,1,1,1,int,LOCKED origin-zone stop on,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stop ATR Multiplier,1.0,1.0,1.0,float,Unused (stop from zone edge + pad),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Enable Take Profit,0,0,0,int,LOCKED off (opposite-zone exit),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Take Profit ATR Multiplier,2.0,2.0,2.0,float,Unused,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Enable Trailing Stop,0,0,0,int,LOCKED off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trailing Delay (bars),1,1,1,int,Unused,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATR Multiplier for Trailing Stop,2.0,2.0,2.0,float,Unused,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
=== GA Criteria ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP_SIZE,150,150,150,int,Short diagnostic pop,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
NUM_GEN,25,25,25,int,Short diagnostic gens,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
CX_PB,0.5,0.5,0.5,float,Crossover,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
MUT_PB,0.4,0.4,0.4,float,Mutation,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
MUT_MU,0,0,0,float,Mutation mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUT_SIGMA,0.3,0.3,0.3,float,Mutation sigma,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
TARGET_TRADES_DAY,1.5,1.5,1.5,float,Activity target,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
TRADES_PENALTY_WEIGHT,0.25,0.25,0.25,float,Excess trade penalty,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
DD_WEIGHT,0.5,0.5,0.5,float,Drawdown weight,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
DATA_SPLITS,0.65,0.65,0.65,float,IS fraction,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
DATA_SIZE,0,0,0,int,0 = full history,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USE_INTERLEAVED_SPLIT,TRUE,TRUE,TRUE,bool,Interleaved IS/OOS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NUM_SPLIT_PERIODS,11,11,11,int,OOS slices,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
