Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Short Trigger (% From Upper Band),0.5,0,2.0,float,% above upper band to trigger (min 0.5% to avoid band extremes),0.5786,0.5279,0.5924,0.4739,0.6478,0.6469,0.6302,0.6323,0.4906,0.6323,0.7791,0.7512,0.5841,0.5948,0.6076,0.6367,0.4278,0.6261,0.5948,0.5072,0.4759,0.5292,0.5999,0.5594,0.2827,0.5438,0.3844,0.6705,0.5813,0.5352,0.7241,0.0,0.2988,0.7103,0.6407,0.6534,0.7042,0.6407,0.7228,0.5108,0.6411,0.688,0.6481,0.6178,0.5926,0.7068,1.0644,0.526,0.1337,0.6463,0.7068,0.7068
ATR Length for Filter,26,10,100,int,ATR period for entry filter (separate from trailing stop ATR),39,49,43,56,50,41,44,30,76,30,75,34,30,56,58,47,65,59,58,65,64,66,45,35,53,52,63,58,36,57,80,62,74,72,50,55,47,50,50,62,55,51,41,41,56,47,43,45,40,29,36,36
Max ATR Filter (Points),4.0,0.5,6.0,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,3.0662,3.5998,3.0324,4.603,3.9267,3.9283,3.6569,2.7428,4.0805,2.7428,3.3118,4.1935,1.9131,4.4056,4.3593,3.2609,2.0653,2.3948,3.1017,2.0653,2.4921,2.6794,4.1095,2.6645,4.0017,4.9927,5.0958,3.7901,3.2787,4.7017,2.1051,4.0827,3.0287,3.3491,3.9347,4.2138,3.827,3.959,3.6525,4.7988,4.2438,5.3951,4.3009,4.3009,4.0988,4.0389,3.7977,4.1339,3.6427,2.3692,2.2023,2.2023
Min ATR Filter (Points),0.5,0.5,1.0,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,0.5,0.6972,0.5,0.5009,0.5006,0.5,0.5,0.788,0.5,0.788,0.656,0.5,0.5,0.5005,0.5005,0.5805,0.5,0.5,0.5,0.5,0.5,0.5,0.5003,0.5,0.5005,0.5,0.5,0.5002,0.5,0.5009,0.5,0.5,0.5,0.5005,0.5004,0.5005,0.5004,0.5004,0.5004,0.5,0.5,0.5,0.5004,0.5,0.5,0.5096,0.5,0.5024,0.5069,0.5,0.5,0.5
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trend EMA Length,200,30,200,int,EMA Length for trend filter,181,187,180,187,174,175,159,173,171,173,185,167,172,181,179,167,168,162,180,168,186,171,167,168,179,174,177,175,171,186,170,177,172,168,183,189,183,183,183,180,187,180,183,183,186,179,167,182,175,177,184,184
Enable ADX Filter,1,0,1,int,Trade only when ADX < Threshold (Ranging Markets) - OPTIMIZABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADX Period,14,10,30,int,Lookback period for ADX calculation,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Max ADX Threshold,25,15,25,int,Maximum ADX allowed for entry. Lower = Only extremely choppy. Higher = Allow some trend.,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTH Exit Buffer (minutes),0,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close),1,7,3,9,0,1,7,15,0,15,13,8,14,12,13,8,13,13,12,13,12,14,5,14,8,8,8,11,15,10,9,5,7,6,6,10,6,6,6,5,9,6,6,6,9,9,9,9,8,16,16,16
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance Start (HH:MM),17:00,17:00,17:00,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance End (HH:MM),17:30,17:30,17:30,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Day,4,4,4,int,"Weekend maintenance start day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 4 (Friday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Time (HH:MM),17:00,17:00,17:00,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Day,6,6,6,int,"Weekend maintenance end day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 6 (Sunday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Time (HH:MM),18:00,18:00,18:00,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance Buffer Minutes,5,1,30,int,Minutes before/after maintenance to exit/block trading,12,13,12,13,12,12,13,8,13,8,12,13,13,13,13,13,13,13,13,13,13,13,13,13,11,13,14,13,13,11,13,14,14,15,12,10,12,12,12,14,7,15,12,12,9,10,11,13,11,9,9,9
Volume MA Length,50,5,200,int,Rolling window for average volume calculation (used by volume filter),37,22,38,22,58,48,51,29,42,29,17,18,36,37,29,31,30,27,22,30,25,35,25,32,5,14,5,20,37,16,19,5,5,5,5,17,5,5,5,26,12,5,5,5,11,15,28,18,31,32,14,14
Max Volume Multiplier,1.2,0.1,2.0,float,"Volume filter for mean reversion - MAX volume allowed (volume <= avg * multiplier). Low volume = exhausted move ready to reverse. High volume = strong momentum (bad for mean reversion). Range 0.5-3.0 (1.0 = no filter, lower = more restrictive)",1.5134,2.0,1.608,1.5562,1.749,1.7341,2.0,1.4697,1.5556,1.3216,2.0,1.3306,1.4824,1.5711,1.6108,1.4562,1.304,1.5221,1.3029,1.304,1.3038,1.1097,1.0201,1.2201,1.8241,0.9961,2.0,1.6267,1.0257,1.5716,1.5549,2.0,2.0,2.0,1.5621,1.5701,1.8447,1.5621,1.5621,1.5787,1.5823,2.0,1.8751,2.0,1.6067,1.7871,1.8275,1.5289,1.1446,1.8882,2.0,2.0
Timeframe (minutes),15,1,15,int,Resample timeframe in minutes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Max Open Trades,1,1,1,int,Maximum concurrent positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction Cost (Per Trade),20.0,20,20,float,Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== TAKE PROFIT CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP Method,0,0,2,int,"Take profit method (0=Fixed BB at Entry, 1=Fixed ATR, 2=Opposite BB) - OPTIMIZABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opposite Bollinger Band TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
Fixed ATR TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Fixed BB at Entry TP,true,true,true,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ATR Length for TP,26,5,80,int,ATR period for fixed TP,15,5,16,23,5,33,5,13,11,12,5,11,36,8,5,5,14,12,5,14,7,12,11,7,5,11,13,6,5,24,14,15,10,9,5,7,5,5,5,10,14,14,5,5,10,28,13,36,22,11,11,11
ATR Multiplier for TP,2.0,0,5.0,float,Fixed TP ATR multiplier - reduced max to prevent overfitting,5.0,5.0,4.9505,4.9935,4.9596,4.9352,4.9885,5.0,4.9766,5.0,5.0,5.0,4.9586,4.9405,4.9599,4.9616,5.0,5.0,4.9475,5.0,5.0,4.9696,5.0,5.0,4.994,5.0,4.9836,4.9788,4.9789,4.9306,5.0,4.9976,4.9792,4.666,4.9071,4.9528,5.0,4.9071,4.9071,4.9996,4.9071,4.9896,5.0,5.0,4.9893,4.8922,5.0,4.9869,5.0,4.6603,4.6469,4.6469
=== STOP LOSS CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Stop Loss (%),1.0,0.1,2,float,Fixed stop loss % - min 1.0% to avoid tight stops that cause quick losses,0.5171,0.5938,1.4033,1.7445,0.8263,1.481,0.8671,0.5849,1.3356,0.5849,0.1971,1.5997,1.463,0.8582,0.8229,0.8907,1.4101,0.9108,0.8793,1.3624,1.5394,1.2148,0.9834,1.0102,1.0255,1.0427,1.0752,0.7069,0.8626,1.9719,1.4597,1.427,0.5984,0.4951,0.9105,0.4982,0.8063,0.8093,0.9175,1.4591,0.4955,0.8773,0.8277,0.8277,0.2329,0.6904,0.527,1.1422,0.1037,0.2104,0.2177,0.2177
Enable Trailing Stop,1,0,1,int,"Use ATR trailing stop (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
ATR Length for Trailing Stop,26,10,100,int,ATR period for trailing,48,46,46,44,45,46,45,41,46,41,48,46,46,45,45,44,46,43,44,46,47,46,46,46,45,45,45,45,46,45,46,45,46,45,45,45,45,45,45,48,45,45,45,45,44,47,47,42,36,44,45,45
ATR Multiplier for Trailing Stop,2.0,0.5,4.5,float,Trailing stop ATR multiplier - reduced max to prevent overfitting,2.0653,3.9044,2.1993,4.0273,3.7009,2.2279,4.3317,2.7799,2.3843,2.7799,3.7942,3.768,2.2431,3.9802,3.48,4.0667,2.3995,1.7998,4.2005,2.3423,4.5,4.182,4.3492,2.5403,2.101,3.8487,2.2787,3.56,4.38,3.8374,2.3695,2.1589,1.7642,3.623,3.9493,4.2905,3.6998,3.6031,3.8226,1.2536,4.3572,3.9127,3.735,3.735,4.0469,3.9923,3.8369,3.4618,2.769,3.3709,3.3603,3.3603
Trailing Delay (bars),5,0,20,int,"Bars before trailing stop begins tightening (0 = immediate, max 7 to avoid delayed trailing)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4
=== GA CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP_SIZE,50,100,150,int,Population size - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM_GEN,50,50,75,int,Number of generations - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX_PB,0.7,0.5,0.9,float,Crossover probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_PB,0.4,0.2,0.5,float,Mutation probability (increased from 0.35 for more exploration),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_MU,0.0,-1.0,1.0,float,Mutation mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_SIGMA,0.25,0.1,0.4,float,Mutation std dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TRADES_DAY,5,1,4,int,Ideal trades/day - reduced to be more realistic for combined filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADES_PENALTY_WEIGHT,0.3,0.1,0.8,float,Penalty for excess trades - reduced to be less restrictive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD_WEIGHT,0.5,0.2,0.8,float,Drawdown penalty weight - increased to prioritize risk management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_SPLITS,0.65,0.60,0.70,float,In-sample fraction per period - 60-70% for better generalization (30-40% OOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_SIZE,0,0,10000000,int,Rows to subsample (0 = full dataset),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USE_INTERLEAVED_SPLIT,true,false,true,bool,Use interleaved IS/OOS periods instead of single split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM_SPLIT_PERIODS,5,3,7,int,Number of alternating periods (IS-OOS-IS-OOS-IS) - odd number recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_DAY,2,0.5,2.0,float,MUST have at least 0.1 trades/day (approx 1 per 2 weeks) - relaxed for combined logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_PEN_WEIGHT,-500.0,-200.0,-50.0,float,Scalar penalty — zero trades = -50 (Less harsh death penalty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_SORTINO_MAX,10.0,5.0,20.0,float,Normalization range for Sortino Ratio (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_DD_MAX,100000.0,50000.0,200000.0,float,Normalization range for Max Drawdown in dollars (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_PF_MAX,5.0,3.0,10.0,float,Normalization range for Profit Factor (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_TRADES_MAX,3.0,1.0,5.0,float,Normalization range for Avg Trades/Day (used in fitness calculation) - reduced to 3.0 for realistic expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_PNL_MAX,465000.0,100000.0,1000000.0,float,Normalization range for Total Profit in dollars (used in fitness calculation) - increased to prevent maxing out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_PROFIT_TRADE_MAX,250.0,100.0,500.0,float,Normalization range for Avg Profit Per Trade (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_WIN_RATE,0.40,0.30,0.50,float,Minimum win rate threshold (hard constraint - strategies below this are eliminated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTINO_CAP,10.0,5.0,20.0,float,Maximum Sortino value before capping (prevents unrealistic values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== SOLUTION STATISTICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sortino Ratio,,,,statistic,Sortino Ratio for each solution,0.1303,0.1139,0.1002,0.0896,0.0888,0.0825,0.0762,0.0614,0.0600,0.0595,0.0587,0.0490,0.0468,0.0427,0.0420,0.0403,0.0333,0.0332,0.0328,0.0327,0.0325,0.0295,0.0275,0.0251,0.0204,0.0197,0.0195,0.0191,0.0190,0.0163,0.0152,0.0144,0.0142,0.0123,0.0121,0.0097,0.0091,0.0078,0.0075,0.0060,0.0030,0.0025,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Max Drawdown ($),,,,statistic,Max Drawdown ($) for each solution,$0.78,$1.25,$1.23,$1.01,$0.82,$0.88,$0.76,$1.05,$1.03,$1.11,$0.58,$0.88,$0.84,$0.70,$0.78,$0.73,$1.00,$0.74,$0.75,$1.00,$0.87,$0.97,$0.67,$0.68,$0.64,$0.47,$0.56,$0.68,$0.57,$0.22,$0.92,$0.29,$0.33,$0.37,$0.61,$0.12,$0.39,$0.53,$0.56,$0.11,$0.00,$0.11,$0.28,$0.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Profit Factor,,,,statistic,Profit Factor for each solution,0.2553,0.3362,0.3415,0.3047,0.2447,0.2457,0.2373,0.2784,0.2952,0.2887,0.2151,0.2542,0.2245,0.2187,0.2209,0.2359,0.2713,0.2219,0.2228,0.2709,0.2432,0.2662,0.2158,0.2396,0.2096,0.1719,0.1642,0.2554,0.2376,0.0988,0.2874,0.2312,0.2560,0.2374,0.3020,0.1045,0.2889,0.2991,0.3005,0.0466,0.1014,0.1805,0.0283,0.0259,0.0259,0.0069,0.0062,0.0058,0.0014,0.0014,0.0013,0.0013
Avg Trades/Day,,,,statistic,Avg Trades/Day for each solution,3.034,8.276,8.113,7.951,4.257,4.058,3.973,9.399,9.088,9.099,4.880,9.838,4.316,4.567,4.751,9.948,9.280,9.994,9.993,9.281,9.840,9.381,4.582,9.828,3.103,3.645,3.077,9.475,9.816,5.729,8.437,9.853,9.385,9.743,7.684,5.298,8.211,7.722,7.651,3.264,5.084,6.169,7.900,8.392,9.914,9.919,9.988,9.998,9.999,10.000,10.000,10.000
Total Profit (norm),,,,statistic,Total Profit (norm) for each solution,0.5756,0.9436,0.7808,0.8596,0.5835,0.5291,0.5059,0.4969,0.5860,0.4434,0.2373,0.5414,0.2040,0.3263,0.3293,0.4265,0.2224,0.3059,0.3322,0.2183,0.2846,0.2255,0.1662,0.2040,0.1557,0.1097,0.1793,0.1958,0.1622,0.2533,0.1226,0.2600,0.1524,0.1382,0.1221,0.1206,0.0964,0.0773,0.0738,0.1017,0.0381,0.0319,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Solution Rank,,,,statistic,Rank by Sortino (0 = highest),#0 (SELECTED),#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51
