Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22
Min ATR Filter (Points),0.5,0.1,6,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,5.3268,0.34,6.0,1.7644,2.3119,2.4126,0.6119,0.9323,2.0922,2.0824,1.5756,1.2514,2.4066,3.7614,3.7614,3.7614,3.7614,3.7614,3.7614,3.7614,3.7614,3.7614,3.7614
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trend EMA Length,200,10,400,int,EMA Length for trend filter,135,110,140,115,117,102,138,106,134,127,109,113,123,142,142,142,142,142,142,142,142,142,142
Enable ADX Filter,1,0,1,int,Trade only when ADX < Threshold (Ranging Markets) - OPTIMIZABLE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ADX Period,14,5,35,int,Lookback period for ADX calculation,12,16,12,16,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16
Max ADX Threshold,25,10,45,int,Maximum ADX allowed for entry. Lower = Only extremely choppy. Higher = Allow some trend.,29,27,29,27,23,22,22,22,22,22,23,22,23,29,29,29,29,29,29,29,29,29,29
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RTH Exit Buffer (minutes),0,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close),23,13,11,0,1,1,2,2,1,1,6,2,5,60,60,60,60,60,60,60,60,60,60
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance Start (HH:MM),17:00,17:00,17:00,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance End (HH:MM),17:30,17:30,17:30,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET),,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Day,4,4,4,int,"Weekend maintenance start day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 4 (Friday)",,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Time (HH:MM),17:00,17:00,17:00,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Day,6,6,6,int,"Weekend maintenance end day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 6 (Sunday)",,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Time (HH:MM),18:00,18:00,18:00,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,
Maintenance Buffer Minutes,5,1,30,int,Minutes before/after maintenance to exit/block trading,15,15,14,14,22,19,19,20,19,20,23,19,24,6,6,6,6,6,6,6,6,6,6
Volume MA Length,50,10,200,int,Rolling window for average volume calculation (used by volume filter),200,200,200,200,200,200,200,200,200,200,200,200,200,96,96,96,96,96,96,96,96,96,96
Max Volume Multiplier,1.2,0.1,5,float,"Volume filter for mean reversion - MAX volume allowed (volume <= avg * multiplier). Low volume = exhausted move ready to reverse. High volume = strong momentum (bad for mean reversion). Range 0.5-3.0 (1.0 = no filter, lower = more restrictive)",1.6557,1.5719,1.4059,1.5437,1.598,3.4558,3.4656,3.4526,3.4689,3.4689,1.5109,3.4526,1.5272,3.7101,3.6307,3.6307,3.6307,3.504,3.6307,3.6307,3.6307,3.6307,3.6307
Timeframe (minutes),15,1,5,int,Resample timeframe in minutes,4,2,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
Max Open Trades,1,1,1,int,Maximum concurrent positions,,,,,,,,,,,,,,,,,,,,,,,
Transaction Cost (Per Trade),15,15,15,float,Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5,,,,,,,,,,,,,,,,,,,,,,,
=== TAKE PROFIT CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP Method,0,0,2,int,"Take profit method (0=Fixed BB at Entry, 1=Fixed ATR, 2=Opposite BB) - OPTIMIZABLE",,,,,,,,,,,,,,,,,,,,,,,
Opposite Bollinger Band TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
Fixed ATR TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
Fixed BB at Entry TP,true,true,true,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ATR Length for TP,26,5,80,int,ATR period for fixed TP,32,26,32,26,52,52,52,52,52,52,52,52,52,28,28,28,28,28,28,28,28,28,28
ATR Multiplier for TP,2,0,6,float,Fixed TP ATR multiplier - reduced max to prevent overfitting,3.3446,3.2145,2.7334,2.4241,1.1825,1.234,1.1197,1.2055,1.1482,1.1958,1.1458,1.1579,1.1837,2.5702,2.6185,2.2489,2.1613,2.7959,2.2452,2.6222,2.2972,2.5702,2.5702
=== STOP LOSS CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Stop Loss (%),1,0.1,2,float,Fixed stop loss % - min 1.0% to avoid tight stops that cause quick losses,1.1534,1.0575,2.0,1.8103,1.2061,1.2126,1.2068,1.2081,1.2113,1.208,1.1905,1.2114,1.1871,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Enable Trailing Stop,1,1,1,int,"Use ATR trailing stop (0=false, 1=true) - OPTIMIZABLE",,,,,,,,,,,,,,,,,,,,,,,
ATR Length for Trailing Stop,26,3,100,int,ATR period for trailing,66,22,64,20,21,21,19,19,21,21,21,19,23,35,35,35,35,35,35,35,35,35,35
ATR Multiplier for Trailing Stop,2,0.1,4.5,float,Trailing stop ATR multiplier - reduced max to prevent overfitting,0.7604,0.1,3.9298,2.8268,2.7741,2.8777,3.0263,3.0657,2.7646,2.7621,2.7709,2.7687,2.7643,3.0108,3.1814,3.1032,3.1764,2.9458,3.1214,3.1632,3.2838,3.0008,3.0008
Trailing Delay (bars),5,0,5,int,"Bars before trailing stop begins tightening (0 = immediate, max 7 to avoid delayed trailing)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
=== GA CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP_SIZE,100,100,150,int,Population size - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,
NUM_GEN,100,50,75,int,Number of generations - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,
CX_PB,0.7,0.5,0.9,float,Crossover probability,,,,,,,,,,,,,,,,,,,,,,,
MUT_PB,0.4,0.2,0.5,float,Mutation probability (increased from 0.35 for more exploration),,,,,,,,,,,,,,,,,,,,,,,
MUT_MU,0,-1,1,float,Mutation mean,,,,,,,,,,,,,,,,,,,,,,,
MUT_SIGMA,0.25,0.1,0.4,float,Mutation std dev,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TRADES_DAY,5,1,4,int,Ideal trades/day - reduced to be more realistic for combined filters,,,,,,,,,,,,,,,,,,,,,,,
TRADES_PENALTY_WEIGHT,0.3,0.1,0.8,float,Penalty for excess trades - reduced to be less restrictive,,,,,,,,,,,,,,,,,,,,,,,
DD_WEIGHT,0.5,0.2,0.8,float,Drawdown penalty weight - increased to prioritize risk management,,,,,,,,,,,,,,,,,,,,,,,
DATA_SPLITS,0.65,0.6,0.7,float,In-sample fraction per period - 60-70% for better generalization (30-40% OOS),,,,,,,,,,,,,,,,,,,,,,,
DATA_SIZE,0,0,10000000,int,Rows to subsample (0 = full dataset),,,,,,,,,,,,,,,,,,,,,,,
=== RSI & VWAP FILTERS (V5) ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable RSI Filter,0,1,1,int,Enable RSI Divergence/Extreme Filter,,,,,,,,,,,,,,,,,,,,,,,
RSI Period,14,5,30,int,RSI Lookback Period,27,29,28,30,20,14,17,18,13,19,22,12,29,5,5,5,5,5,5,5,5,5,5
RSI Overbought,70,60,85,int,Threshold for Overbought (Short Entry Blocked if < this),77,75,75,73,60,60,60,60,60,60,60,60,60,82,82,82,82,82,82,82,82,82,82
RSI Oversold,30,15,40,int,Threshold for Oversold (Long Entry Blocked if > this),24,23,24,23,24,22,26,26,22,23,24,25,22,31,31,31,31,31,31,31,31,31,31
Enable VWAP Filter,0,1,1,int,Enable VWAP Trend Alignment Filter,,,,,,,,,,,,,,,,,,,,,,,
USE_INTERLEAVED_SPLIT,true,false,true,bool,Use interleaved IS/OOS periods instead of single split,,,,,,,,,,,,,,,,,,,,,,,
NUM_SPLIT_PERIODS,5,3,7,int,Number of alternating periods (IS-OOS-IS-OOS-IS) - odd number recommended,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_DAY,2,0.5,2,float,MUST have at least 0.1 trades/day (approx 1 per 2 weeks) - relaxed for combined logic,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_PEN_WEIGHT,-500,-200,-50,float,Scalar penalty — zero trades = -50 (Less harsh death penalty),,,,,,,,,,,,,,,,,,,,,,,
NORM_SORTINO_MAX,10,5,20,float,Normalization range for Sortino Ratio (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,
NORM_DD_MAX,50000,50000,200000,float,Normalization range for Max Drawdown in dollars (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,
NORM_PF_MAX,5,3,10,float,Normalization range for Profit Factor (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,
NORM_TRADES_MAX,3,1,5,float,Normalization range for Avg Trades/Day (used in fitness calculation) - reduced to 3.0 for realistic expectations,,,,,,,,,,,,,,,,,,,,,,,
NORM_PNL_MAX,650000,100000,1000000,float,Normalization range for Total Profit in dollars (used in fitness calculation) - increased to prevent maxing out,,,,,,,,,,,,,,,,,,,,,,,
NORM_PROFIT_TRADE_MAX,60,100,500,float,Normalization range for Avg Profit Per Trade (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,
MIN_WIN_RATE,0.4,0.3,0.5,float,Minimum win rate threshold (hard constraint - strategies below this are eliminated),,,,,,,,,,,,,,,,,,,,,,,
SORTINO_CAP,10,5,20,float,Maximum Sortino value before capping (prevents unrealistic values),,,,,,,,,,,,,,,,,,,,,,,
GA_START_DATE,2024-01-01,,,str,Start date for GA backtest,,,,,,,,,,,,,,,,,,,,,,,
GA_END_DATE,2024-12-31,,,str,End date for GA backtest,,,,,,,,,,,,,,,,,,,,,,,
WEIGHT_SORTINO,1.0,,,float,Fitness weight: Sortino Ratio,,,,,,,,,,,,,,,,,,,,,,,
WEIGHT_DRAWDOWN,-1.0,,,float,Fitness weight: Max Drawdown,,,,,,,,,,,,,,,,,,,,,,,
WEIGHT_PF,1.0,,,float,Fitness weight: Profit Factor,,,,,,,,,,,,,,,,,,,,,,,
WEIGHT_TRADES,3.0,,,float,Fitness weight: Avg Trades/Day,,,,,,,,,,,,,,,,,,,,,,,
WEIGHT_PNL,2.0,,,float,Fitness weight: Total Profit,,,,,,,,,,,,,,,,,,,,,,,
WEIGHT_PPT,2.0,,,float,Fitness weight: Avg Profit/Trade,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADE_DURATION,2.0,,,float,Hard Limit: Min avg minutes per trade,,,,,,,,,,,,,,,,,,,,,,,
MAX_WIN_RATE_CAP,0.95,,,float,Hard Limit: Max win rate before penalty,,,,,,,,,,,,,,,,,,,,,,,
LIMIT_MAX_LOSS,50000,,,float,Hard Limit: Severe loss penalty threshold,,,,,,,,,,,,,,,,,,,,,,,
LIMIT_MIN_SORTINO,1.0,,,float,Hard Limit: Severe Sortino penalty threshold,,,,,,,,,,,,,,,,,,,,,,,
MIN_PROFIT_PER_TRADE,25.0,,,float,Hard Limit: Minimum accepted Profit Per Trade margin strictly enforced under slippage penalty,,,,,,,,,,,,,,,,,,,,,,,
=== SOLUTION STATISTICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sortino Ratio,,,,statistic,Sortino Ratio for each solution,0.1707,0.0977,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Max Drawdown ($),,,,statistic,Max Drawdown ($) for each solution,$0.02,$0.01,$0.01,$0.12,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Profit Factor,,,,statistic,Profit Factor for each solution,0.1222,0.1252,0.0215,0.0023,56.1637,56.1637,56.1637,56.1637,56.1637,56.1637,56.1637,56.1637,56.1637,26.1052,26.1052,26.1052,26.1052,26.1052,26.1052,26.1052,26.1052,26.1052,26.1052
Avg Trades/Day,,,,statistic,Avg Trades/Day for each solution,0.063,0.124,0.010,0.134,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
Total Profit (norm),,,,statistic,Total Profit (norm) for each solution,0.0014,0.0011,-0.0002,-0.0080,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007
Solution Rank,,,,statistic,Rank by Sortino (0 = highest),#0 (SELECTED),#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22
