Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Short Trigger (% From Upper Band),0.5,0,2.0,float,% above upper band to trigger (min 0.5% to avoid band extremes),1.9365,2.0,1.2012,0.3693,1.8911,0.9595,1.6014,2.0,1.2378,0.0,0.0387,1.913,1.3801,1.1902,1.5342,2.0,0.2552,1.8268,0.1529,1.9191,0.1529,2.0,1.7546,1.1802,0.0,0.0,1.1409,1.0902,1.1179,1.6546,0.1096,0.0,0.0,1.6339,0.0,2.0,1.9641,1.9641,0.7895,1.7789,1.922,1.924,2.0,1.9079,1.953,1.9079,1.9079,1.9079,1.9079,1.9079,1.953,1.953,1.953,1.9079,1.9652,1.9763,1.9327,1.9327,1.6817,1.7642,1.9365,1.7366,1.7366,1.9889
ATR Length for Filter,26,10,100,int,ATR period for entry filter (separate from trailing stop ATR),36,36,37,33,37,37,36,37,36,37,37,36,37,37,37,36,35,37,34,37,34,34,34,37,37,37,37,36,37,37,34,35,35,37,37,47,36,36,37,37,37,37,37,37,36,37,37,37,37,37,36,36,36,37,36,36,37,37,36,36,36,36,36,36
Max ATR Filter (Points),4.0,0.5,6.0,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,4.568,4.568,4.1624,4.2337,4.2209,4.26,4.2455,4.1584,4.2472,4.1644,4.1482,4.1461,4.1925,4.2848,4.1579,4.3076,4.1532,4.1865,4.1694,4.2637,4.1694,4.1554,4.2436,4.1916,4.3523,4.3023,4.2337,4.2396,4.3008,4.2751,4.1174,4.0696,4.303,4.2392,4.3521,4.2384,4.1703,4.1703,4.4162,5.3789,5.3789,5.3789,5.3789,5.3789,4.5258,5.3789,5.3789,5.3789,5.3789,5.3789,4.484,4.484,4.484,5.3789,4.5132,4.281,5.3789,5.3789,4.5716,4.5764,4.568,4.568,4.568,4.5041
Min ATR Filter (Points),0.5,0.5,1.0,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,0.6214,0.5,0.5257,0.5206,0.5193,0.5134,0.5,0.5,0.5,0.5188,0.5,0.5104,0.5,0.5,0.5003,0.5,0.5,0.5,0.5243,0.5223,0.5243,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5089,0.5,0.5,0.5,0.5,0.5,0.5,0.5142,0.5142,0.5,0.5104,0.5124,0.5,0.6957,0.5689,0.5,0.5689,0.5689,0.5689,0.5689,0.5689,0.5,0.5,0.5,0.5689,0.5,0.5,0.5094,0.5094,0.5,0.5,0.5,0.5,0.5,0.5
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trend EMA Length,200,50,200,int,EMA Length for trend filter,147,147,158,156,156,126,130,155,127,129,117,157,141,110,153,167,158,147,156,159,156,140,125,126,117,110,102,146,100,172,145,138,155,169,179,143,147,147,156,155,155,155,155,155,148,155,155,155,155,155,148,148,148,155,147,147,155,155,147,147,147,147,147,147
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTH Exit Buffer (minutes),0,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close),50,50,46,44,48,48,46,51,47,47,54,48,55,47,50,53,46,49,57,48,57,55,51,48,54,54,47,56,46,47,57,48,57,48,60,50,49,49,57,52,52,52,52,52,49,52,52,52,52,52,49,49,49,52,49,50,52,52,50,50,50,50,50,50
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance Start (HH:MM),17:00,17:00,17:00,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance End (HH:MM),17:30,17:30,17:30,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Day,4,4,4,int,"Weekend maintenance start day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 4 (Friday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Time (HH:MM),17:00,17:00,17:00,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Day,6,6,6,int,"Weekend maintenance end day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 6 (Sunday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Time (HH:MM),18:00,18:00,18:00,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance Buffer Minutes,5,1,30,int,Minutes before/after maintenance to exit/block trading,18,18,15,17,16,15,14,16,14,15,15,18,16,15,15,21,13,15,17,17,17,18,16,15,15,16,15,23,15,17,18,17,18,16,15,18,18,18,14,16,16,16,16,16,22,16,16,16,16,16,22,22,22,16,21,18,16,16,18,18,18,18,18,18
Volume MA Length,50,10,200,int,Rolling window for average volume calculation (used by volume filter),24,24,25,27,26,24,15,26,22,32,40,23,45,33,23,26,31,27,27,24,27,28,13,34,40,22,22,14,25,27,30,26,32,26,24,30,27,27,18,27,27,27,27,27,24,27,27,27,27,27,24,24,24,27,24,24,27,27,24,23,24,24,24,23
Max Volume Multiplier,1.2,0.1,3.0,float,"Volume filter for mean reversion - MAX volume allowed (volume <= avg * multiplier). Low volume = exhausted move ready to reverse. High volume = strong momentum (bad for mean reversion). Range 0.5-3.0 (1.0 = no filter, lower = more restrictive)",3.0,3.0,2.4269,2.8087,2.8824,2.6547,2.9967,2.5817,2.9941,2.6634,2.5952,2.4505,2.6951,2.6564,2.6538,2.6659,2.8481,2.7012,2.2863,2.5334,2.7506,2.6006,2.4677,2.5038,2.5952,2.607,2.631,2.9381,2.5257,2.4833,2.5661,2.4295,2.4365,2.4937,2.381,2.5596,2.6021,2.6021,2.5067,2.4093,2.4238,2.5184,2.4093,2.4756,2.6437,2.4756,2.4756,2.4756,2.4756,2.4756,2.6437,2.6437,2.6437,2.4965,2.8483,2.8669,2.3912,2.3912,2.8091,2.7019,2.9456,2.8441,2.8669,3.0
Timeframe (minutes),15,1,15,int,Resample timeframe in minutes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Max Open Trades,1,1,1,int,Maximum concurrent positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction Cost (Per Trade),20.0,20,20,float,Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== TAKE PROFIT CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP Method,0,0,2,int,"Take profit method (0=Fixed BB at Entry, 1=Fixed ATR, 2=Opposite BB) - OPTIMIZABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opposite Bollinger Band TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True,True,False,True,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,True,True,True,True
Fixed ATR TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False
Fixed BB at Entry TP,true,true,true,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ATR Length for TP,26,5,80,int,ATR period for fixed TP,50,50,8,5,7,22,32,5,33,8,5,19,34,30,5,5,28,56,42,26,42,39,58,47,5,5,40,51,38,31,49,36,24,36,23,60,6,6,25,17,17,17,17,17,49,17,17,17,17,17,49,49,49,17,50,50,17,17,50,49,50,50,50,49
ATR Multiplier for TP,2.0,0,5.0,float,Fixed TP ATR multiplier - reduced max to prevent overfitting,0.3003,0.3003,5.0,4.7073,4.5949,4.8639,0.2713,4.1179,0.0,3.874,3.7533,3.6415,4.1704,3.8673,4.1338,0.0,0.0,0.0,4.2512,2.9923,4.2512,3.046,0.5273,0.6171,3.7533,3.8578,0.0236,0.4833,1.0262,2.8887,3.1933,0.5497,3.6868,2.0655,3.8376,2.1875,0.6108,0.6108,0.0,3.3294,3.11,3.2113,3.3294,3.3247,0.1486,3.326,3.328,3.3294,3.3294,3.3294,0.4273,0.1486,0.1486,3.3294,0.0,0.0,3.3294,3.3294,0.0003,0.0,0.0012,0.0,0.0,0.0
=== STOP LOSS CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Stop Loss (%),1.0,0.1,2,float,Fixed stop loss % - min 1.0% to avoid tight stops that cause quick losses,0.8139,0.8139,0.762,0.7575,0.7603,0.7778,0.834,0.763,0.7884,1.6744,1.1686,0.7352,0.727,0.7189,0.5265,0.7967,0.7697,0.8225,0.7479,0.727,0.7479,0.742,0.5672,0.777,0.9163,0.8437,0.8277,0.9427,0.8342,0.7286,0.8007,1.0105,0.7997,0.7065,0.6733,0.5296,0.7364,0.7364,0.9359,0.8205,0.5037,0.5081,0.8205,0.4932,0.7439,0.4932,0.4932,0.4932,0.4932,0.4932,0.7439,0.7439,0.7439,0.4932,0.8128,0.7945,0.4932,0.4932,0.8148,0.7572,0.8139,0.7945,0.7945,0.7563
Enable Trailing Stop,1,0,1,int,"Use ATR trailing stop (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATR Length for Trailing Stop,26,10,100,int,ATR period for trailing,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100,100,96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ATR Multiplier for Trailing Stop,2.0,0.5,4.5,float,Trailing stop ATR multiplier - reduced max to prevent overfitting,1.6304,1.9127,2.0655,1.7621,1.8899,2.1204,1.3653,1.8448,1.1257,1.956,2.1896,1.9824,2.1291,2.2022,1.8333,2.8699,0.9383,1.8312,2.2182,1.9323,2.2182,2.0597,2.5854,2.0692,2.1896,2.0842,2.178,1.7583,1.9515,1.9221,2.1989,2.4031,2.6307,2.0791,2.4427,2.6163,1.8978,1.8978,1.6721,1.7673,1.7693,1.8365,1.7673,1.875,1.9223,1.875,1.875,1.875,1.875,1.875,1.9223,1.9223,1.9223,1.875,1.7982,1.9769,1.7512,1.7512,2.0175,1.9833,1.6304,1.6604,1.6604,1.9397
Trailing Delay (bars),5,0,20,int,"Bars before trailing stop begins tightening (0 = immediate, max 7 to avoid delayed trailing)",8,8,8,8,8,8,9,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,9,8,8,8,8,9,8,9,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,8,8,8,8,8,8,8,8,8,8,8
=== GA CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP_SIZE,50,100,150,int,Population size - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM_GEN,50,50,75,int,Number of generations - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX_PB,0.7,0.5,0.9,float,Crossover probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_PB,0.4,0.2,0.5,float,Mutation probability (increased from 0.35 for more exploration),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_MU,0.0,-1.0,1.0,float,Mutation mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_SIGMA,0.25,0.1,0.4,float,Mutation std dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TRADES_DAY,3,1,4,int,Ideal trades/day - reduced to be more realistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADES_PENALTY_WEIGHT,0.3,0.1,0.8,float,Penalty for excess trades - reduced to be less restrictive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD_WEIGHT,0.5,0.2,0.8,float,Drawdown penalty weight - increased to prioritize risk management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_SPLITS,0.65,0.60,0.70,float,In-sample fraction per period - 60-70% for better generalization (30-40% OOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_SIZE,0,0,10000000,int,Rows to subsample (0 = full dataset),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USE_INTERLEAVED_SPLIT,true,false,true,bool,Use interleaved IS/OOS periods instead of single split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM_SPLIT_PERIODS,5,3,7,int,Number of alternating periods (IS-OOS-IS-OOS-IS) - odd number recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_DAY,0.5,0.5,2.0,float,MUST have at least 0.3 trades/day - further relaxed due to interleaved split reducing effective trading days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_PEN_WEIGHT,-100.0,-200.0,-50.0,float,Scalar penalty — zero trades = -100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_SORTINO_MAX,10.0,5.0,20.0,float,Normalization range for Sortino Ratio (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_DD_MAX,100000.0,50000.0,200000.0,float,Normalization range for Max Drawdown in dollars (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_PF_MAX,5.0,3.0,10.0,float,Normalization range for Profit Factor (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_TRADES_MAX,3.0,1.0,5.0,float,Normalization range for Avg Trades/Day (used in fitness calculation) - reduced to 3.0 for realistic expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_PNL_MAX,465000.0,100000.0,1000000.0,float,Normalization range for Total Profit in dollars (used in fitness calculation) - increased to prevent maxing out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_PROFIT_TRADE_MAX,250.0,100.0,500.0,float,Normalization range for Avg Profit Per Trade (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_WIN_RATE,0.40,0.30,0.50,float,Minimum win rate threshold (hard constraint - strategies below this are eliminated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SORTINO_CAP,10.0,5.0,20.0,float,Maximum Sortino value before capping (prevents unrealistic values),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== SOLUTION STATISTICS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sortino Ratio,,,,statistic,Sortino Ratio for each solution,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Max Drawdown ($),,,,statistic,Max Drawdown ($) for each solution,$0.56,$0.55,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.38,$0.39,$0.39,$0.39,$0.40,$0.40,$0.40,$0.40,$0.40,$0.40,$0.40,$0.41,$0.41,$0.41,$0.41,$0.42,$0.44,$0.46,$0.46,$0.51,$0.53,$0.53,$0.56,$0.56,$0.57
Profit Factor,,,,statistic,Profit Factor for each solution,0.0209,0.0204,0.0103,0.0095,0.0095,0.0091,0.0091,0.0087,0.0085,0.0085,0.0084,0.0080,0.0080,0.0077,0.0075,0.0074,0.0074,0.0072,0.0072,0.0072,0.0072,0.0071,0.0069,0.0069,0.0069,0.0068,0.0068,0.0066,0.0066,0.0065,0.0065,0.0062,0.0054,0.0054,0.0052,0.0048,0.0039,0.0039,0.0001,0.0128,0.0109,0.0109,0.0137,0.0125,0.0118,0.0125,0.0126,0.0127,0.0127,0.0127,0.0120,0.0120,0.0120,0.0132,0.0152,0.0142,0.0153,0.0153,0.0180,0.0153,0.0181,0.0185,0.0186,0.0183
Avg Trades/Day,,,,statistic,Avg Trades/Day for each solution,0.482,0.491,2.761,4.634,4.657,4.736,4.833,4.923,4.936,5.173,5.211,5.236,5.244,5.338,5.395,5.409,5.412,5.419,5.451,5.480,5.503,5.511,5.538,5.545,5.595,5.605,5.606,5.640,5.653,5.728,5.795,5.959,5.965,5.966,5.996,5.998,5.999,5.999,8.423,0.380,0.429,0.433,0.362,0.435,0.688,0.435,0.435,0.435,0.435,0.435,0.696,0.696,0.696,0.436,0.593,0.639,0.426,0.426,0.485,0.495,0.489,0.492,0.492,0.519
