Name,Value,Min,Max,Type,Description
Maintenance Buffer Minutes,24,1,30,int,Minutes before/after maintenance to exit/block trading
Volume MA Length,155,5,200,int,Rolling window for average volume calculation (used by volume filter)
Max Volume Multiplier,2.8447,0.1,3,float,"Volume filter for mean reversion - MAX volume allowed (volume <= avg * multiplier). Low volume = exhausted move ready to reverse. High volume = strong momentum (bad for mean reversion). Range 0.5-3.0 (1.0 = no filter, lower = more restrictive)"
Timeframe (minutes),2,1,15,int,Resample timeframe in minutes
Max Open Trades,1,1,1,int,Maximum concurrent positions
Transaction Cost (Per Trade),20,20,20,float,Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5
=== TAKE PROFIT CRITERIA ===,,,,,
TP Method,0,0,2,int,"Take profit method (0=Fixed BB at Entry, 1=Fixed ATR, 2=Opposite BB) - OPTIMIZABLE"
Opposite Bollinger Band TP,True,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly)
Fixed ATR TP,False,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly)
Fixed BB at Entry TP,False,true,true,bool,FIXED: Controlled by TP Method (do not optimize directly)
ATR Length for TP,18,5,80,int,ATR period for fixed TP
ATR Multiplier for TP,2.3233,0,6,float,Fixed TP ATR multiplier - reduced max to prevent overfitting
=== STOP LOSS CRITERIA ===,,,,,
Initial Stop Loss (%),0.5,0.1,2,float,Fixed stop loss % - min 1.0% to avoid tight stops that cause quick losses
Enable Trailing Stop,0,0,1,int,"Use ATR trailing stop (0=false, 1=true) - OPTIMIZABLE"
ATR Length for Trailing Stop,56,10,100,int,ATR period for trailing
ATR Multiplier for Trailing Stop,0.5114,0.5,4.5,float,Trailing stop ATR multiplier - reduced max to prevent overfitting
Trailing Delay (bars),18,0,20,int,"Bars before trailing stop begins tightening (0 = immediate, max 7 to avoid delayed trailing)"
=== GA CRITERIA ===,,,,,
POP_SIZE,150,100,150,int,Population size - reduced to prevent overfitting
NUM_GEN,100,50,75,int,Number of generations - reduced to prevent overfitting
CX_PB,0.7,0.5,0.9,float,Crossover probability
MUT_PB,0.4,0.2,0.5,float,Mutation probability (increased from 0.35 for more exploration)
MUT_MU,0,-1,1,float,Mutation mean
MUT_SIGMA,0.25,0.1,0.4,float,Mutation std dev
TARGET_TRADES_DAY,5,1,4,int,Ideal trades/day - reduced to be more realistic for combined filters
TRADES_PENALTY_WEIGHT,0.3,0.1,0.8,float,Penalty for excess trades - reduced to be less restrictive
DD_WEIGHT,0.5,0.2,0.8,float,Drawdown penalty weight - increased to prioritize risk management
DATA_SPLITS,0.65,0.6,0.7,float,In-sample fraction per period - 60-70% for better generalization (30-40% OOS)
DATA_SIZE,0,0,10000000,int,Rows to subsample (0 = full dataset)
USE_INTERLEAVED_SPLIT,true,false,true,bool,Use interleaved IS/OOS periods instead of single split
NUM_SPLIT_PERIODS,5,3,7,int,Number of alternating periods (IS-OOS-IS-OOS-IS) - odd number recommended
MIN_TRADES_DAY,2,0.5,2,float,MUST have at least 0.1 trades/day (approx 1 per 2 weeks) - relaxed for combined logic
MIN_TRADES_PEN_WEIGHT,-500,-200,-50,float,Scalar penalty â zero trades = -50 (Less harsh death penalty)
NORM_SORTINO_MAX,10,5,20,float,Normalization range for Sortino Ratio (used in fitness calculation)
NORM_DD_MAX,100000,50000,200000,float,Normalization range for Max Drawdown in dollars (used in fitness calculation)
NORM_PF_MAX,5,3,10,float,Normalization range for Profit Factor (used in fitness calculation)
NORM_TRADES_MAX,3,1,5,float,Normalization range for Avg Trades/Day (used in fitness calculation) - reduced to 3.0 for realistic expectations
NORM_PNL_MAX,465000,100000,1000000,float,Normalization range for Total Profit in dollars (used in fitness calculation) - increased to prevent maxing out
NORM_PROFIT_TRADE_MAX,250,100,500,float,Normalization range for Avg Profit Per Trade (used in fitness calculation)
MIN_WIN_RATE,0.4,0.3,0.5,float,Minimum win rate threshold (hard constraint - strategies below this are eliminated)
SORTINO_CAP,10,5,20,float,Maximum Sortino value before capping (prevents unrealistic values)
=== SOLUTION STATISTICS ===,,,,,
Sortino Ratio,,,,statistic,Sortino Ratio for each solution
Max Drawdown ($),,,,statistic,Max Drawdown ($) for each solution
Profit Factor,,,,statistic,Profit Factor for each solution
Avg Trades/Day,,,,statistic,Avg Trades/Day for each solution
Total Profit (norm),,,,statistic,Total Profit (norm) for each solution
Solution Rank,,,,statistic,Rank by Sortino (0 = highest)


