Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88,Solution_89,Solution_90,Solution_91,Solution_92,Solution_93,Solution_94,Solution_95,Solution_96,Solution_97,Solution_98,Solution_99
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0
Short Trigger (% From Upper Band),0.5,0,2,float,% above upper band to trigger (min 0.5% to avoid band extremes),1.9387,0.3552,0.9261,1.6286,0.8155,0.278,1.5436,0.7453,0.5932,0.6506,0.0,1.8757,0.3185,1.1596,1.2716,1.1794,1.8363,0.2997,0.9816,1.0092,1.4348,1.4795,0.3421,0.9593,0.7453,0.9489,1.0278,0.7023,0.5415,0.4408,1.6644,1.6662,0.528,1.1849,1.1042,0.379,1.7571,1.0034,1.9885,0.8118,0.4897,0.7453,1.0669,0.6181,1.5948,0.614,1.2462,1.0941,0.5939,1.841,0.9259,0.9083,1.8919,0.4897,0.7453,0.9489,1.0669,0.3642,0.3552,1.7358,1.1935,0.614,1.386,0.3907,1.6378,0.9194,0.9874,0.9238,0.4897,0.7838,0.9104,1.1014,0.6633,0.4153,1.5948,0.9543,0.3352,1.6118,0.9454,0.9874,0.9238,0.9104,1.8919,1.1103,0.5032,0.3041,0.9293,0.4153,1.1613,0.1767,2.0,0.9543,1.3555,0.5915,0.9423,0.9237,1.8919,0.4824,0.8345,0.0
ATR Length for Filter,26,5,20,int,ATR period for entry filter (separate from trailing stop ATR),10,9,20,5,6,5,19,18,7,11,5,10,11,19,6,15,11,12,20,5,6,8,16,12,18,19,15,10,8,5,20,11,10,9,13,13,10,5,6,11,17,18,9,5,19,10,16,16,10,9,8,7,10,17,18,19,9,7,5,12,9,10,17,10,9,5,20,8,17,18,19,9,16,5,19,15,10,8,5,20,8,7,10,9,16,7,12,5,17,11,18,15,12,6,5,7,10,19,16,9
Max ATR Filter (Points),4,2,10,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,4.0115,5.0983,5.2263,5.5683,5.903,7.9413,7.9742,6.9455,2.0,2.3072,2.0985,3.834,3.9413,3.1881,2.9937,7.6704,4.8359,4.9387,5.386,4.6011,6.8702,7.9342,7.9813,6.4383,6.9455,4.6774,7.1608,2.2308,2.3062,2.0985,3.8639,2.9834,4.7919,2.9117,7.1092,4.5198,5.2547,5.2328,6.0313,9.5471,4.8725,6.9455,7.3916,2.2968,4.2928,5.7036,3.2701,6.6784,5.1354,5.176,8.7731,6.0731,9.5053,5.0582,6.9455,4.6774,7.3916,2.1079,2.2968,3.0409,2.0,5.7036,3.9236,5.1392,5.1723,5.3115,4.7543,10.0,5.1741,5.177,6.4459,6.9893,2.0,2.0889,3.9929,6.0249,5.2499,5.1973,5.2864,4.9149,10.0,4.8462,9.6167,7.1081,2.0,2.3157,2.0,2.0889,3.6747,5.7559,4.1895,6.1707,5.334,5.1132,5.2998,5.287,9.6167,5.1868,5.1,5.4378
Min ATR Filter (Points),0.5,0.1,6,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,2.1065,5.7097,1.0018,2.0715,0.1,3.6569,3.3089,3.5401,4.8721,4.3794,4.6541,1.7696,2.0973,0.3123,3.4666,3.8176,2.6205,4.8428,1.8687,1.4347,0.1,3.0862,3.8797,0.1,3.5401,3.1024,3.1807,5.9785,3.273,4.6541,4.0798,3.242,0.6249,0.2958,4.2044,5.7004,1.7629,3.0257,0.1,3.8711,0.1,3.0549,3.2717,4.8587,2.7228,0.8207,3.4832,3.8227,6.0,0.1,2.7001,2.8533,0.6969,0.1,3.0549,3.1024,3.2717,3.0684,5.156,4.5989,0.1,0.8207,3.808,5.8402,1.3288,4.6886,0.2777,2.2231,0.1,6.0,0.1573,3.2717,5.8875,3.2813,2.7228,3.4979,5.9538,2.1013,3.9161,0.2777,2.2231,3.3303,0.6969,0.1,6.0,4.9432,3.9194,3.2813,2.5735,3.5671,1.2109,3.4979,2.4312,6.0,3.3186,5.4091,0.6969,0.1985,5.9963,3.4178
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1
Trend EMA Length,200,10,400,int,EMA Length for trend filter,231,231,223,95,38,281,131,224,370,199,186,246,163,159,159,234,225,225,229,17,116,126,286,111,224,242,117,384,185,186,171,175,234,159,210,224,226,205,118,134,263,224,151,184,171,223,159,200,234,379,124,122,130,263,224,242,151,187,184,175,170,223,152,400,213,52,41,122,263,265,201,151,350,193,171,207,400,221,44,41,122,124,130,156,350,178,174,193,173,132,241,207,400,234,16,118,130,263,265,134
Enable ADX Filter,1,0,1,int,Trade only when ADX < Threshold (Ranging Markets) - OPTIMIZABLE,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0
ADX Period,14,5,35,int,Lookback period for ADX calculation,9,30,17,29,15,30,6,5,29,29,26,7,12,9,7,13,21,17,30,29,15,8,28,8,5,6,22,32,26,26,28,7,12,7,13,15,23,30,14,13,23,5,32,23,30,14,9,13,15,32,9,14,13,23,5,6,32,29,23,5,5,14,17,18,29,21,30,10,23,6,5,32,22,35,30,5,18,18,32,30,10,13,13,27,22,17,5,35,15,26,20,5,18,18,30,14,13,9,20,11
Max ADX Threshold,25,10,45,int,Maximum ADX allowed for entry. Lower = Only extremely choppy. Higher = Allow some trend.,15,10,27,28,36,18,33,23,37,45,37,33,34,45,30,45,21,23,14,39,25,20,31,34,23,13,43,45,37,37,34,33,34,33,44,26,18,34,29,45,20,23,45,40,29,35,45,30,40,22,16,29,45,20,23,13,45,34,40,38,32,35,35,36,26,30,19,28,20,21,15,45,43,43,29,45,36,33,23,19,28,17,45,44,43,31,44,43,29,35,35,45,42,27,10,15,45,20,21,35
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
RTH Exit Buffer (minutes),0,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close),21,29,26,37,55,48,60,4,38,27,39,36,1,47,29,25,35,29,26,37,55,60,50,4,4,32,25,28,37,39,38,4,33,31,26,30,34,35,60,14,40,4,28,42,7,31,45,26,30,34,56,25,49,40,4,32,28,34,42,35,33,31,26,35,29,35,28,60,40,0,36,28,25,40,7,45,35,34,30,28,60,21,49,26,25,36,36,40,25,9,30,45,35,34,32,52,49,33,3,27
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance Start (HH:MM),17:00,17:00,17:00,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance End (HH:MM),17:30,17:30,17:30,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Day,4,4,4,int,"Weekend maintenance start day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 4 (Friday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Time (HH:MM),17:00,17:00,17:00,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Day,6,6,6,int,"Weekend maintenance end day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 6 (Sunday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Time (HH:MM),18:00,18:00,18:00,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance Buffer Minutes,5,1,30,int,Minutes before/after maintenance to exit/block trading,13,15,1,11,11,7,8,17,12,14,11,18,13,16,11,16,3,2,14,11,11,11,4,20,17,17,16,11,15,11,23,18,13,9,2,3,2,5,11,8,16,17,7,14,30,5,18,1,4,6,11,11,8,16,17,17,7,12,14,11,17,5,3,1,9,1,20,11,16,17,17,7,20,15,30,14,1,8,1,20,11,11,8,8,20,11,10,15,25,6,7,14,7,1,14,16,8,16,17,1
Volume MA Length,50,10,200,int,Rolling window for average volume calculation (used by volume filter),123,10,200,74,10,77,103,61,45,51,140,132,63,14,12,47,200,10,200,10,70,102,78,76,61,85,200,79,17,140,176,185,10,16,64,200,10,11,96,78,76,61,200,47,200,10,10,200,92,11,76,69,105,76,61,85,200,110,47,161,15,10,200,93,10,10,200,133,76,81,65,200,101,62,200,10,93,10,10,200,133,12,105,96,101,95,48,62,79,190,198,10,85,15,172,42,105,77,80,37
Max Volume Multiplier,1.2,0.1,5,float,"Volume filter for mean reversion - MAX volume allowed (volume <= avg * multiplier). Low volume = exhausted move ready to reverse. High volume = strong momentum (bad for mean reversion). Range 0.5-3.0 (1.0 = no filter, lower = more restrictive)",0.4537,1.805,1.7641,1.59,1.2803,3.0597,4.106,2.9582,2.8158,5.0,4.7167,0.1,5.0,3.2935,1.9887,4.3262,0.511,1.1737,2.3954,1.8954,0.8281,3.0087,4.1569,1.6559,2.9582,3.5603,1.0814,3.1751,5.0,5.0,3.3074,0.1805,5.0,1.5488,1.915,1.4504,0.2343,3.3328,1.3652,2.2481,3.5648,3.3173,1.1682,5.0,0.1,5.0,4.2356,0.817,2.4363,0.6466,2.4716,0.8625,2.7508,3.5648,3.3173,3.5603,1.0922,5.0,5.0,3.3619,2.5477,5.0,1.4255,0.1,2.9828,2.9206,0.9579,1.2441,3.4268,3.6447,3.2329,1.0922,3.0883,5.0,0.1,3.466,0.1039,2.8757,3.0277,0.8817,1.0292,2.09,2.7508,2.8731,3.1519,5.0,2.3179,4.928,0.1,4.3111,1.4411,3.2572,0.1,2.8796,3.1703,2.0502,2.7508,3.8845,3.187,5.0
Timeframe (minutes),15,1,5,int,Resample timeframe in minutes,3,2,3,4,5,2,3,2,3,2,5,3,3,4,3,3,3,2,3,4,5,3,2,2,2,4,1,2,3,5,4,3,3,4,3,3,2,3,3,2,2,2,2,3,3,3,3,3,3,2,5,2,3,2,2,4,2,5,3,4,4,3,3,2,3,3,4,5,2,1,5,2,1,3,3,3,2,3,3,4,5,3,3,5,1,5,4,3,3,3,3,3,2,3,3,3,3,2,1,3
Max Open Trades,1,1,1,int,Maximum concurrent positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction Cost (Per Trade),15,15,15,float,Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== TAKE PROFIT CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP Method,0,0,2,int,"Take profit method (0=Fixed BB at Entry, 1=Fixed ATR, 2=Opposite BB) - OPTIMIZABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opposite Bollinger Band TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fixed ATR TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False,True,False,True,True,True,False,False,True,True,False,True,False,True,False,False,False,True,True,True,False,True,False,False,True,True,False,True,False,True
Fixed BB at Entry TP,true,true,true,bool,FIXED: Controlled by TP Method (do not optimize directly),True,False,True,False,False,False,True,True,False,True,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False
ATR Length for TP,26,5,80,int,ATR period for fixed TP,17,56,55,80,45,26,6,39,28,43,16,14,62,11,15,17,39,54,57,46,80,25,7,43,39,63,39,40,31,16,39,25,51,21,28,26,67,58,80,13,37,39,39,30,39,48,5,5,49,57,35,34,80,37,39,63,39,17,30,25,24,48,5,41,65,68,45,33,37,57,45,39,40,28,39,5,41,74,59,45,33,36,80,44,40,19,19,28,41,38,5,5,80,35,24,22,80,41,53,40
ATR Multiplier for TP,2,0,6,float,Fixed TP ATR multiplier - reduced max to prevent overfitting,0.5042,0.0,1.0804,0.4262,6.0,0.8512,3.6154,1.7754,5.5578,2.9525,4.7694,2.0603,2.7533,6.0,2.3701,0.0,2.6512,0.0,0.7559,1.8626,5.2723,3.5122,0.9544,3.737,1.7754,4.3221,3.3216,3.6355,5.389,4.7694,3.4301,2.6027,2.2109,3.2577,0.7586,0.0,1.9706,1.8925,3.4464,0.8184,3.873,1.7754,3.0883,5.5387,5.0014,0.4999,6.0,0.0,0.6533,1.232,5.3381,0.1005,4.1643,3.873,1.7754,4.3221,3.0883,4.6197,5.0428,1.0313,4.9687,0.4999,6.0,1.7051,0.46,2.6311,0.726,4.2217,3.873,3.7818,2.3345,3.0883,3.8688,5.9417,5.0014,0.4547,1.7051,0.9074,2.1838,0.8189,4.2217,1.2169,4.3583,2.478,3.9621,3.7208,6.0,6.0,5.9221,4.0946,1.7231,0.5227,0.5734,2.0391,2.6119,3.985,4.3583,3.8618,3.793,5.0152
=== STOP LOSS CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Stop Loss (%),1,0.1,2,float,Fixed stop loss % - min 1.0% to avoid tight stops that cause quick losses,0.1,2.0,0.1869,0.1,2.0,1.2487,1.2755,0.5287,2.0,0.1,0.7925,1.2554,1.2703,0.5656,1.1229,0.39,2.0,0.6594,2.0,2.0,0.4239,1.2842,1.24,0.5286,0.5287,1.0227,0.603,0.2115,2.0,0.7925,1.3746,1.1619,1.3638,1.5885,0.5122,1.9026,0.954,2.0,0.6384,0.6889,1.0798,0.4735,0.5514,1.801,1.2088,1.9352,0.1,2.0,0.2661,2.0,1.0698,0.1324,1.1948,1.0798,0.4735,1.0227,0.5514,1.0704,1.4562,1.3276,1.0171,2.0,0.1,0.6483,1.7522,1.286,2.0,1.1022,1.0798,0.5721,0.9241,0.8012,0.2631,1.1352,1.2088,2.0,0.6483,2.0,1.0382,2.0,1.1022,0.1,1.1948,0.7063,0.5954,1.3915,0.9614,1.1352,1.0373,0.6128,1.5962,1.7582,1.7589,0.9893,1.2859,0.1,1.1948,0.5589,1.093,0.4413
Enable Trailing Stop,1,1,1,int,"Use ATR trailing stop (0=false, 1=true) - OPTIMIZABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATR Length for Trailing Stop,26,3,100,int,ATR period for trailing,81,42,22,33,62,39,84,70,43,43,50,39,39,52,3,83,77,27,37,37,58,74,49,71,70,64,49,35,51,50,53,39,39,46,70,39,65,37,32,31,89,70,49,50,41,34,3,38,71,40,100,3,60,89,70,64,49,51,50,51,51,34,29,100,11,62,37,100,89,91,43,49,35,49,41,7,100,3,70,37,100,3,60,43,35,52,51,49,31,40,33,7,7,100,43,90,60,89,91,30
