Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0
Short Trigger (% From Upper Band),0.5,0,2.0,float,% above upper band to trigger (min 0.5% to avoid band extremes),1.5604,1.5604,1.5604,1.0265,1.5604,1.5069,1.5604,1.5604,1.554,1.5604,1.5604,1.5604,1.5604,1.5604,1.5604,1.363,1.2549,1.4312,1.4659,1.4895,1.5589,1.0201,1.5538,1.5534,1.5252,1.8613,1.5108,0.9634,1.5861,1.3504,1.4765,0.8155,1.1687,1.3068,1.9897,0.1354,0.9842,1.7964,1.9683,0.3994,0.0024,1.5262,1.7409,0.5023,1.1622,0.1146,0.3428,0.8501,0.1518,0.0508,1.5794,0.5227,1.1537,1.5119,1.2193,1.7621,0.8534,0.9056,1.7054,1.533,0.0307,0.294,0.3333,0.0758,1.6884,1.3493,0.2471,0.9252,0.8213,0.6722,0.1668,1.2419,0.9217,0.9805,1.0468,0.8147
ATR Length for Filter,26,10,100,int,ATR period for entry filter (separate from trailing stop ATR),43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,63,31,43,57,80,91,70,66,24,77,59,84,32,23,75,46,40,73,28,88,86,98,85,38,29,49,55,54,15,80,22,52,73,64,74,70,71,76,30,37,81,91,27,15,25,94,88,86,55
Max ATR Filter (Points),4.0,0.5,6.0,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,4.1595,4.0366,4.0366,4.0601,4.0366,4.0825,4.1595,4.0366,4.0908,4.0366,4.0366,4.0366,4.0366,4.0366,4.0366,4.1618,4.0831,4.1066,4.0618,4.1007,4.0811,4.1956,4.0874,4.0863,4.0935,4.0885,4.1633,1.8143,4.3067,3.4233,4.2037,5.2001,0.6147,4.9725,4.1336,0.5616,4.0917,0.8913,3.488,2.4023,4.8458,5.1468,5.1779,5.3014,2.4577,4.3553,3.2674,3.8127,1.2598,4.1247,2.9505,1.9067,0.5782,5.2563,3.7261,1.701,3.5427,4.5445,3.5599,4.9897,4.3721,4.7408,2.4491,1.6846,1.2783,2.6977,2.2001,5.5723,2.2241,4.225,0.6785,5.343,4.3295,1.9587,5.7582,1.4195
Min ATR Filter (Points),0.5,0.5,1.0,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.946,1.0,1.0,1.0,1.0,1.0,1.0,0.977,1.0,0.9974,0.9714,0.9978,0.8077,0.9665,0.7725,1.0,0.9363,0.9822,0.862,0.7357,0.6414,0.9125,0.6228,0.5396,0.8319,0.5037,0.9268,0.8662,0.7134,0.8455,0.8894,0.6171,0.9364,0.5699,0.5321,0.5313,0.9841,0.8333,0.542,0.5891,0.8225,0.5927,0.7388,0.5804,0.8102,0.9963,0.7223,0.5546,0.6725,0.6168,0.7402,0.9292,0.9388,0.7339,0.9146,0.8232,0.963,0.9579,0.6024,0.9228,0.8586,0.5743,0.5996,0.8063,0.8822,0.7068,0.5327,0.7154
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0
Trend EMA Length,200,30,200,int,EMA Length for trend filter,133,133,133,134,133,134,133,133,135,133,133,133,133,133,133,134,134,134,134,134,135,134,135,134,134,134,134,121,37,134,134,174,69,102,84,151,54,191,71,75,108,46,129,87,83,130,166,146,86,42,139,179,121,70,141,149,152,141,166,68,136,144,57,61,131,149,111,96,50,106,57,159,194,43,102,38
Enable ADX Filter,1,0,1,int,Trade only when ADX < Threshold (Ranging Markets) - OPTIMIZABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0
ADX Period,14,10,30,int,Lookback period for ADX calculation,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,26,26,26,27,26,26,26,28,28,26,28,21,30,13,15,13,15,21,30,23,24,23,27,27,19,25,29,29,11,16,20,25,11,23,11,12,20,25,29,10,11,16,22,13,13,20,12,10,28,12,20,26,18,20,17,25
Max ADX Threshold,25,15,25,int,Maximum ADX allowed for entry. Lower = Only extremely choppy. Higher = Allow some trend.,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,16,19,22,16,22,25,21,24,15,21,22,20,21,21,20,17,19,24,16,25,17,23,16,19,22,17,20,17,16,16,24,24,17,22,22,24,16,24,16,17,22,19,20,16,24,24,20,25
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0
RTH Exit Buffer (minutes),0,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,49,10,40,21,46,14,33,59,58,40,26,17,21,58,51,27,43,42,32,3,56,13,20,46,55,37,52,42,4,58,13,53,55,47,6,19,2,38,2,14,3,15,9,11,47,7,12,8
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance Start (HH:MM),17:00,17:00,17:00,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance End (HH:MM),17:30,17:30,17:30,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Day,4,4,4,int,"Weekend maintenance start day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 4 (Friday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Time (HH:MM),17:00,17:00,17:00,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Day,6,6,6,int,"Weekend maintenance end day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 6 (Sunday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Time (HH:MM),18:00,18:00,18:00,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance Buffer Minutes,5,1,30,int,Minutes before/after maintenance to exit/block trading,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,4,15,28,10,12,6,24,29,25,23,24,3,1,21,4,5,24,19,18,15,16,5,1,27,5,9,17,20,5,26,12,6,2,6,28,13,2,2,23,25,3,24,5,29,11,15,21,5,2
Volume MA Length,50,5,200,int,Rolling window for average volume calculation (used by volume filter),58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,45,151,58,175,124,16,59,142,149,49,181,24,48,185,74,113,41,118,102,98,147,90,131,193,93,126,124,29,170,89,181,47,88,78,150,105,34,80,100,5,159,27,176,59,75,32,182,114,144
Max Volume Multiplier,1.2,0.1,2.0,float,"Volume filter for mean reversion - MAX volume allowed (volume <= avg * multiplier). Low volume = exhausted move ready to reverse. High volume = strong momentum (bad for mean reversion). Range 0.5-3.0 (1.0 = no filter, lower = more restrictive)",1.6286,1.7015,1.7015,1.6358,1.7015,1.701,1.7015,1.7015,1.6883,1.7015,1.7015,1.7015,1.7015,1.7015,1.7015,1.2893,1.8052,1.6358,1.6958,1.6123,1.6832,1.3071,1.6783,1.7886,1.6971,1.4839,1.6908,1.4981,1.7983,1.7774,1.4154,0.7033,1.2477,0.8703,1.7864,1.8084,1.8673,0.8925,1.9626,0.507,0.6916,1.7179,1.2532,1.7018,0.115,1.8488,1.1086,1.0323,0.4411,1.2178,1.6015,0.6734,1.6042,1.9386,0.6084,0.5749,1.0855,1.235,0.9203,1.3813,1.8625,1.8105,0.4472,1.0379,0.195,0.6157,0.5534,0.814,1.972,1.1232,1.3064,0.9506,0.1556,1.7916,1.4066,0.8758
Timeframe (minutes),15,1,15,int,Resample timeframe in minutes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,6,3,9,13,11,13,9,8,13,2,8,5,12,11,2,3,11,11,10,14,9,2,11,14,14,12,12,12,8,1,12,3,14,15,14,12,3,5,11,12,1,5,12,3,1,2,6,13
Max Open Trades,1,1,1,int,Maximum concurrent positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction Cost (Per Trade),20.0,20,20,float,Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== TAKE PROFIT CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP Method,0,0,2,int,"Take profit method (0=Fixed BB at Entry, 1=Fixed ATR, 2=Opposite BB) - OPTIMIZABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opposite Bollinger Band TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
Fixed ATR TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,False,True,False,False,False,False,True,True,True,False,False,True,True,False,True,False,False,True,True,False,True,True,False,True,True,True,True,False,True,False,True,False,False,False,False
Fixed BB at Entry TP,true,true,true,bool,FIXED: Controlled by TP Method (do not optimize directly),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
ATR Length for TP,26,5,80,int,ATR period for fixed TP,74,74,74,74,74,73,74,74,73,74,74,74,74,74,74,74,73,74,74,74,73,74,73,74,73,74,74,72,77,74,58,13,15,70,76,21,67,43,40,46,65,68,37,42,7,49,39,79,64,6,21,18,80,71,60,9,12,63,15,31,65,47,77,73,21,28,58,14,11,76,56,65,10,31,31,40
ATR Multiplier for TP,2.0,0,5.0,float,Fixed TP ATR multiplier - reduced max to prevent overfitting,4.7576,4.7576,4.7576,4.7177,4.7576,4.5825,4.7576,4.7576,4.9194,4.7576,4.5505,4.7576,4.7576,4.7576,4.7576,4.7177,4.4555,4.233,4.8707,4.9869,4.8327,4.7379,4.5265,5.0,4.607,4.6662,4.7619,0.7086,4.6476,4.5028,3.5757,2.2351,3.5283,1.4849,0.5808,3.542,2.5815,1.1948,1.4524,2.0867,1.8445,3.6473,3.4773,1.7857,4.1972,3.1014,0.21,1.5825,2.9297,3.8904,3.0333,2.4167,3.8306,2.5556,2.3137,1.3723,3.9206,0.7644,0.0905,0.1532,0.5495,3.7575,4.4044,2.7998,3.2617,1.1986,1.8458,3.0597,3.6074,0.8133,1.078,1.5592,3.1523,4.8629,3.9944,2.6583
=== STOP LOSS CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Stop Loss (%),1.0,0.1,2,float,Fixed stop loss % - min 1.0% to avoid tight stops that cause quick losses,1.2392,1.2392,1.2392,1.3736,1.9705,0.9804,1.2392,1.8968,1.4378,1.2392,1.2392,1.2392,1.2392,1.2392,1.2392,1.4732,1.2683,1.2797,1.403,1.2332,2.0,1.7538,2.0,1.2339,1.4264,1.2372,1.3508,1.9009,0.7257,1.4004,0.4328,0.845,1.7995,1.673,1.566,0.7813,0.9434,1.0991,0.6839,1.3302,0.5366,0.2334,0.712,1.4497,1.9908,0.5149,1.3695,1.0431,1.7521,0.4225,0.4711,1.4466,0.834,1.3229,1.1996,0.4803,1.3125,1.3635,1.8914,0.8129,0.4643,1.4254,1.3877,1.1597,0.9688,1.5041,1.2336,0.8647,0.5198,0.5933,0.3867,0.797,1.9032,0.4057,0.7997,0.27
Enable Trailing Stop,1,0,1,int,"Use ATR trailing stop (0=false, 1=true) - OPTIMIZABLE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0
ATR Length for Trailing Stop,26,10,100,int,ATR period for trailing,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,46,82,32,69,22,33,14,42,68,71,90,43,93,93,38,54,62,66,31,18,56,53,22,37,39,37,92,85,53,50,48,43,66,27,31,36,86,27,71,26,56,45,81,92,59,42,48,48,98
ATR Multiplier for Trailing Stop,2.0,0.5,4.5,float,Trailing stop ATR multiplier - reduced max to prevent overfitting,4.1112,4.1112,4.1112,4.4499,4.1112,4.3528,4.1112,4.1112,3.9322,4.1112,4.1112,4.1112,4.1112,4.1112,4.1112,4.4499,4.2307,4.4499,4.1194,4.0004,4.3152,4.2696,4.1129,4.0307,4.0347,3.9971,3.9122,1.2932,2.2639,4.3942,3.1528,0.9012,3.4103,3.8914,2.1243,3.0788,3.7839,4.2275,1.3594,1.8329,3.9782,4.3009,2.4781,3.2583,1.3232,0.6949,4.4944,0.9998,1.6112,4.3796,4.1105,1.47,2.8107,3.0972,0.7175,1.1298,3.3887,2.3125,2.3726,2.4015,3.5192,0.8186,2.9901,3.3564,2.4084,1.4908,3.4247,3.7369,4.0976,2.408,1.1624,2.346,3.8293,2.3556,1.251,0.9826
Trailing Delay (bars),5,0,20,int,"Bars before trailing stop begins tightening (0 = immediate, max 7 to avoid delayed trailing)",2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,9,9,1,5,1,5,16,1,18,15,7,18,12,16,9,3,18,6,4,3,14,10,6,1,3,16,6,18,20,10,12,9,1,16,1,9,14,18,5,9,1,18,7,13,9,3,6,2,18
=== GA CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP_SIZE,50,100,150,int,Population size - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM_GEN,50,50,75,int,Number of generations - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX_PB,0.7,0.5,0.9,float,Crossover probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_PB,0.4,0.2,0.5,float,Mutation probability (increased from 0.35 for more exploration),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_MU,0.0,-1.0,1.0,float,Mutation mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_SIGMA,0.25,0.1,0.4,float,Mutation std dev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TRADES_DAY,5,1,4,int,Ideal trades/day - reduced to be more realistic for combined filters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRADES_PENALTY_WEIGHT,0.3,0.1,0.8,float,Penalty for excess trades - reduced to be less restrictive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD_WEIGHT,0.5,0.2,0.8,float,Drawdown penalty weight - increased to prioritize risk management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_SPLITS,0.65,0.60,0.70,float,In-sample fraction per period - 60-70% for better generalization (30-40% OOS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_SIZE,0,0,10000000,int,Rows to subsample (0 = full dataset),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USE_INTERLEAVED_SPLIT,true,false,true,bool,Use interleaved IS/OOS periods instead of single split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM_SPLIT_PERIODS,5,3,7,int,Number of alternating periods (IS-OOS-IS-OOS-IS) - odd number recommended,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_DAY,2,0.5,2.0,float,MUST have at least 0.1 trades/day (approx 1 per 2 weeks) - relaxed for combined logic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN_TRADES_PEN_WEIGHT,-500.0,-200.0,-50.0,float,Scalar penalty — zero trades = -50 (Less harsh death penalty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_SORTINO_MAX,10.0,5.0,20.0,float,Normalization range for Sortino Ratio (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORM_DD_MAX,100000.0,50000.0,200000.0,float,Normalization range for Max Drawdown in dollars (used in fitness calculation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
