Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9
RTH Exit Buffer (minutes),0,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close),55,53,55,55,54,55,56,56,52,53
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods,,,,,,,,,,
Daily Maintenance Start (HH:MM),17:00,17:00,17:00,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET),,,,,,,,,,
Daily Maintenance End (HH:MM),17:30,17:30,17:30,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET),,,,,,,,,,
Weekend Maintenance Start Day,4,4,4,int,"Weekend maintenance start day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 4 (Friday)",,,,,,,,,,
Weekend Maintenance Start Time (HH:MM),17:00,17:00,17:00,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET),,,,,,,,,,
Weekend Maintenance End Day,6,6,6,int,"Weekend maintenance end day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 6 (Sunday)",,,,,,,,,,
Weekend Maintenance End Time (HH:MM),18:00,18:00,18:00,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET),,,,,,,,,,
Maintenance Buffer Minutes,5,1,30,int,Minutes before/after maintenance to exit/block trading,10,20,21,17,30,14,2,13,25,1
Volume MA Length,50,10,200,int,Rolling window for average volume calculation (used by volume filter),45,28,40,103,44,109,33,195,94,56
Max Volume Multiplier,1.2,0.1,5,float,"Volume filter for mean reversion - MAX volume allowed (volume <= avg * multiplier). Low volume = exhausted move ready to reverse. High volume = strong momentum (bad for mean reversion). Range 0.5-3.0 (1.0 = no filter, lower = more restrictive)",5.0,3.3073,3.5032,3.3201,4.8343,3.3413,4.2316,4.6447,4.2236,4.2767
Timeframe (minutes),15,1,5,int,Resample timeframe in minutes,4,4,4,4,3,4,4,4,5,4
Max Open Trades,1,1,1,int,Maximum concurrent positions,,,,,,,,,,
Transaction Cost (Per Trade),15,15,15,float,Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5,,,,,,,,,,
=== TAKE PROFIT CRITERIA ===,,,,,,,,,,,,,,,
TP Method,0,0,2,int,"Take profit method (0=Fixed BB at Entry, 1=Fixed ATR, 2=Opposite BB) - OPTIMIZABLE",,,,,,,,,,
Opposite Bollinger Band TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,True,False,False,False
Fixed ATR TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),True,True,True,True,True,True,False,True,True,True
Fixed BB at Entry TP,true,true,true,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,False,False,False,False
ATR Length for TP,26,5,80,int,ATR period for fixed TP,25,41,26,41,28,32,26,20,64,72
ATR Multiplier for TP,2,0,6,float,Fixed TP ATR multiplier - reduced max to prevent overfitting,0.0,0.0,0.5852,3.0292,1.1599,1.2456,0.7928,3.0746,6.0,6.0
=== STOP LOSS CRITERIA ===,,,,,,,,,,,,,,,
Initial Stop Loss (%),1,0.1,2,float,Fixed stop loss % - min 1.0% to avoid tight stops that cause quick losses,0.6176,0.54,0.4681,0.4714,0.3874,0.4601,0.4287,0.4323,0.4485,0.4963
Enable Trailing Stop,1,1,1,int,"Use ATR trailing stop (0=false, 1=true) - OPTIMIZABLE",,,,,,,,,,
ATR Length for Trailing Stop,26,3,100,int,ATR period for trailing,82,77,82,56,48,73,100,100,80,72
ATR Multiplier for Trailing Stop,2,0.1,4.5,float,Trailing stop ATR multiplier - reduced max to prevent overfitting,1.3088,0.7071,0.6648,1.1668,0.7519,0.6307,0.1,1.1899,0.6697,0.1
Trailing Delay (bars),5,0,5,int,"Bars before trailing stop begins tightening (0 = immediate, max 7 to avoid delayed trailing)",1,1,1,2,1,1,1,0,1,1
=== GA CRITERIA ===,,,,,,,,,,,,,,,
POP_SIZE,100,100,150,int,Population size - reduced to prevent overfitting,,,,,,,,,,
NUM_GEN,100,50,75,int,Number of generations - reduced to prevent overfitting,,,,,,,,,,
CX_PB,0.7,0.5,0.9,float,Crossover probability,,,,,,,,,,
MUT_PB,0.4,0.2,0.5,float,Mutation probability (increased from 0.35 for more exploration),,,,,,,,,,
MUT_MU,0,-1,1,float,Mutation mean,,,,,,,,,,
MUT_SIGMA,0.25,0.1,0.4,float,Mutation std dev,,,,,,,,,,
TARGET_TRADES_DAY,5,1,4,int,Ideal trades/day - reduced to be more realistic for combined filters,,,,,,,,,,
TRADES_PENALTY_WEIGHT,0.3,0.1,0.8,float,Penalty for excess trades - reduced to be less restrictive,,,,,,,,,,
DD_WEIGHT,0.5,0.2,0.8,float,Drawdown penalty weight - increased to prioritize risk management,,,,,,,,,,
DATA_SPLITS,0.65,0.6,0.7,float,In-sample fraction per period - 60-70% for better generalization (30-40% OOS),,,,,,,,,,
DATA_SIZE,0,0,10000000,int,Rows to subsample (0 = full dataset),,,,,,,,,,
=== RSI & VWAP FILTERS (V5) ===,,,,,,,,,,,,,,,
Enable RSI Filter,0,1,1,int,Enable RSI Divergence/Extreme Filter,,,,,,,,,,
RSI Period,14,5,30,int,RSI Lookback Period,11,8,11,26,13,9,11,23,8,10
RSI Overbought,70,60,85,int,Threshold for Overbought (Short Entry Blocked if < this),61,61,61,62,64,62,61,64,61,61
RSI Oversold,30,15,40,int,Threshold for Oversold (Long Entry Blocked if > this),39,40,40,40,40,39,40,40,28,37
Enable VWAP Filter,0,1,1,int,Enable VWAP Trend Alignment Filter,,,,,,,,,,
USE_INTERLEAVED_SPLIT,true,false,true,bool,Use interleaved IS/OOS periods instead of single split,,,,,,,,,,
NUM_SPLIT_PERIODS,5,3,7,int,Number of alternating periods (IS-OOS-IS-OOS-IS) - odd number recommended,,,,,,,,,,
MIN_TRADES_DAY,2,0.5,2,float,MUST have at least 0.1 trades/day (approx 1 per 2 weeks) - relaxed for combined logic,,,,,,,,,,
MIN_TRADES_PEN_WEIGHT,-500,-200,-50,float,Scalar penalty — zero trades = -50 (Less harsh death penalty),,,,,,,,,,
NORM_SORTINO_MAX,10,5,20,float,Normalization range for Sortino Ratio (used in fitness calculation),,,,,,,,,,
NORM_DD_MAX,50000,50000,200000,float,Normalization range for Max Drawdown in dollars (used in fitness calculation),,,,,,,,,,
NORM_PF_MAX,5,3,10,float,Normalization range for Profit Factor (used in fitness calculation),,,,,,,,,,
NORM_TRADES_MAX,3,1,5,float,Normalization range for Avg Trades/Day (used in fitness calculation) - reduced to 3.0 for realistic expectations,,,,,,,,,,
NORM_PNL_MAX,650000,100000,1000000,float,Normalization range for Total Profit in dollars (used in fitness calculation) - increased to prevent maxing out,,,,,,,,,,
NORM_PROFIT_TRADE_MAX,60,100,500,float,Normalization range for Avg Profit Per Trade (used in fitness calculation),,,,,,,,,,
MIN_WIN_RATE,0.4,0.3,0.5,float,Minimum win rate threshold (hard constraint - strategies below this are eliminated),,,,,,,,,,
SORTINO_CAP,10,5,20,float,Maximum Sortino value before capping (prevents unrealistic values),,,,,,,,,,
GA_START_DATE,2024-01-01,,,str,Start date for GA backtest,,,,,,,,,,
GA_END_DATE,2024-12-31,,,str,End date for GA backtest,,,,,,,,,,
WEIGHT_SORTINO,1.0,,,float,Fitness weight: Sortino Ratio,,,,,,,,,,
WEIGHT_DRAWDOWN,-1.0,,,float,Fitness weight: Max Drawdown,,,,,,,,,,
WEIGHT_PF,1.0,,,float,Fitness weight: Profit Factor,,,,,,,,,,
WEIGHT_TRADES,3.0,,,float,Fitness weight: Avg Trades/Day,,,,,,,,,,
WEIGHT_PNL,2.0,,,float,Fitness weight: Total Profit,,,,,,,,,,
WEIGHT_PPT,2.0,,,float,Fitness weight: Avg Profit/Trade,,,,,,,,,,
MIN_TRADE_DURATION,2.0,,,float,Hard Limit: Min avg minutes per trade,,,,,,,,,,
MAX_WIN_RATE_CAP,0.95,,,float,Hard Limit: Max win rate before penalty,,,,,,,,,,
LIMIT_MAX_LOSS,50000,,,float,Hard Limit: Severe loss penalty threshold,,,,,,,,,,
LIMIT_MIN_SORTINO,1.0,,,float,Hard Limit: Severe Sortino penalty threshold,,,,,,,,,,
MIN_PROFIT_PER_TRADE,25.0,,,float,Hard Limit: Minimum accepted Profit Per Trade margin strictly enforced under slippage penalty,,,,,,,,,,
=== SOLUTION STATISTICS ===,,,,,,,,,,,,,,,
Sortino Ratio (IS),,,,statistic,Sortino Ratio (IS) for each solution,3.7728,3.5851,3.4337,3.0347,2.7790,1.9453,0.1452,0.0000,-0.1995,-0.8745
Max Drawdown (IS) ($),,,,statistic,Max Drawdown (IS) ($) for each solution,$225.75,$142.50,$744.96,$397.38,$580.37,$478.11,$304.07,$0.00,$362.56,$198.67
Profit Factor (IS),,,,statistic,Profit Factor (IS) for each solution,1.4353,1.3678,1.3512,1.3967,1.2695,1.1503,1.0158,999.0000,0.9839,0.9350
Avg Trades/Day (IS),,,,statistic,Avg Trades/Day (IS) for each solution,0.026,0.021,0.131,0.073,0.110,0.084,0.063,0.021,0.068,0.047
Total Profit (IS) ($),,,,statistic,Total Profit (IS) ($) for each solution,$400.69,$247.07,$706.18,$624.61,$515.53,$262.64,$12.02,$853.88,$-24.22,$-56.36
Avg Profit/Trade (IS) ($),,,,statistic,Avg Profit/Trade (IS) ($) for each solution,$80.14,$61.77,$28.25,$44.61,$24.55,$16.42,$1.00,$213.47,$-1.86,$-6.26
---,,,,statistic,---,---,---,---,---,---,---,---,---,---,---
Sortino Ratio (OOS),,,,statistic,Sortino Ratio (OOS) for each solution,0.0000,0.0000,2.3898,6.1587,2.8710,23.1340,0.0000,-174.3471,0.0000,0.0000
Max Drawdown (OOS) ($),,,,statistic,Max Drawdown (OOS) ($) for each solution,$112.46,$2.60,$621.15,$86.85,$642.17,$175.75,$195.50,$91.10,$0.00,$0.00
Profit Factor (OOS),,,,statistic,Profit Factor (OOS) for each solution,2.2700,106.6083,1.2556,2.1429,1.3765,3.5553,1.1234,0.0000,1.2324,999.0000
Avg Trades/Day (OOS),,,,statistic,Avg Trades/Day (OOS) for each solution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total Profit (OOS) ($),,,,statistic,Total Profit (OOS) ($) for each solution,$142.82,$274.06,$258.14,$649.55,$303.97,"$1,239.75",$24.12,$-171.17,$68.65,$345.17
Avg Profit/Trade (OOS) ($),,,,statistic,Avg Profit/Trade (OOS) ($) for each solution,$71.41,$137.03,$25.81,$108.26,$30.40,$137.75,$6.03,$-85.59,$22.88,$172.58
---,,,,statistic,---,---,---,---,---,---,---,---,---,---,---
--- ROBUSTNESS EVALUATION ---,,,,statistic,--- ROBUSTNESS EVALUATION --- for each solution,,,,,,,,,,
Sortino IS-to-OOS Degradation,,,,statistic,Sortino IS-to-OOS Degradation for each solution,100.0%,100.0%,30.4%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%
Positive OOS Splits,,,,statistic,Positive OOS Splits for each solution,0/2,0/2,1/2,0/2,0/2,1/2,0/2,0/2,0/2,0/2
Live-Ready Robustness Score,,,,statistic,Live-Ready Robustness Score for each solution,0.00,0.00,10.26,17.32,10.74,56.27,-10.00,-358.69,-3.00,0.00
---,,,,statistic,---,---,---,---,---,---,---,---,---,---,---
--- PER-SPLIT DETAIL (In-Sample) ---,,,,statistic,--- PER-SPLIT DETAIL (In-Sample) --- for each solution,,,,,,,,,,
  Sortino (P1),,,,statistic,  Sortino (P1) for each solution,0.0000,0.0000,-7.1487,-27.7552,-4.8873,-22.3144,-11.7799,0.0000,-22.1078,-15.0355
  Trades/D (P1),,,,statistic,  Trades/D (P1) for each solution,0.016,0.016,0.097,0.032,0.097,0.065,0.048,0.032,0.048,0.032
  Profit Fac (P1),,,,statistic,  Profit Fac (P1) for each solution,0.0000,0.0000,0.3546,0.0000,0.5840,0.0000,0.0000,999.0000,0.0000,0.0000
  Max DD (P1),,,,statistic,  Max DD (P1) for each solution,$0.00,$0.00,$744.96,$309.67,$580.37,$478.11,$64.43,$0.00,$334.60,$52.60
  Total PNL (P1),,,,statistic,  Total PNL (P1) for each solution,$-694.65,$-529.29,$-566.98,"$-1,039.89",$-380.76,$-986.42,$-426.91,$328.38,$-853.62,$-415.08
  Avg Profit/Tr (P1),,,,statistic,  Avg Profit/Tr (P1) for each solution,$-694.65,$-529.29,$-94.50,$-519.95,$-63.46,$-246.60,$-142.30,$164.19,$-284.54,$-207.54
  Sortino (P3),,,,statistic,  Sortino (P3) for each solution,0.0000,0.0000,27.4667,74.9688,15.4754,0.0000,-35.5824,0.0000,24.8081,0.0000
  Trades/D (P3),,,,statistic,  Trades/D (P3) for each solution,0.016,0.016,0.111,0.095,0.111,0.095,0.048,0.016,0.079,0.032
  Profit Fac (P3),,,,statistic,  Profit Fac (P3) for each solution,999.0000,999.0000,5.9415,11.9310,2.3718,15.1041,0.0000,999.0000,4.1987,2.5423
  Max DD (P3),,,,statistic,  Max DD (P3) for each solution,$0.00,$0.00,$255.32,$137.17,$418.85,$106.00,$119.12,$0.00,$256.49,$120.53
  Total PNL (P3),,,,statistic,  Total PNL (P3) for each solution,$949.60,$894.64,"$1,261.64","$1,499.37",$574.59,"$1,495.03",$-239.64,$154.00,$820.46,$185.89
  Avg Profit/Tr (P3),,,,statistic,  Avg Profit/Tr (P3) for each solution,$949.60,$894.64,$180.23,$249.90,$82.08,$249.17,$-79.88,$154.00,$164.09,$92.94
  Sortino (P5),,,,statistic,  Sortino (P5) for each solution,18.4087,0.0000,0.2041,7.4518,7.4014,-6.6454,65.7895,0.0000,0.3318,11.4301
  Trades/D (P5),,,,statistic,  Trades/D (P5) for each solution,0.047,0.031,0.188,0.094,0.125,0.094,0.094,0.016,0.078,0.078
  Profit Fac (P5),,,,statistic,  Profit Fac (P5) for each solution,1.6456,0.1700,1.0131,1.4155,1.5555,0.6247,8.0503,999.0000,1.0227,1.5216
  Max DD (P5),,,,statistic,  Max DD (P5) for each solution,$225.75,$0.00,$548.87,$397.38,$305.71,$344.97,$57.25,$0.00,$362.56,$198.67
  Total PNL (P5),,,,statistic,  Total PNL (P5) for each solution,$145.75,$-118.28,$11.52,$165.12,$321.70,$-245.97,$678.57,$371.50,$8.94,$172.83
  Avg Profit/Tr (P5),,,,statistic,  Avg Profit/Tr (P5) for each solution,$48.58,$-59.14,$0.96,$27.52,$40.21,$-41.00,$113.09,$371.50,$1.79,$34.57
---,,,,statistic,---,---,---,---,---,---,---,---,---,---,---
--- PER-SPLIT DETAIL (Out-of-Sample) ---,,,,statistic,--- PER-SPLIT DETAIL (Out-of-Sample) --- for each solution,,,,,,,,,,
  Sortino (P2),,,,statistic,  Sortino (P2) for each solution,0.0000,0.0000,11.4850,0.0000,0.0000,27.6468,0.0000,0.0000,0.0000,0.0000
  Trades/D (P2),,,,statistic,  Trades/D (P2) for each solution,0.016,0.016,0.079,0.063,0.048,0.111,0.016,0.016,0.032,0.016
  Profit Fac (P2),,,,statistic,  Profit Fac (P2) for each solution,999.0000,999.0000,3.1752,2.3716,25.1756,3.3751,999.0000,0.0000,1.2180,999.0000
  Max DD (P2),,,,statistic,  Max DD (P2) for each solution,$0.00,$0.00,$27.97,$0.00,$36.61,$175.75,$0.00,$0.00,$0.00,$0.00
  Total PNL (P2),,,,statistic,  Total PNL (P2) for each solution,$255.27,$276.65,$813.14,$660.41,$885.14,"$1,152.35",$34.95,$-80.07,$64.39,$236.50
  Avg Profit/Tr (P2),,,,statistic,  Avg Profit/Tr (P2) for each solution,$255.27,$276.65,$162.63,$165.10,$295.05,$164.62,$34.95,$-80.07,$32.20,$236.50
  Sortino (P4),,,,statistic,  Sortino (P4) for each solution,0.0000,0.0000,-9.6759,0.0000,-7.3183,0.0000,0.0000,0.0000,0.0000,0.0000
  Trades/D (P4),,,,statistic,  Trades/D (P4) for each solution,0.016,0.016,0.081,0.032,0.113,0.032,0.048,0.016,0.016,0.016
  Profit Fac (P4),,,,statistic,  Profit Fac (P4) for each solution,0.0000,0.0000,0.1276,0.8750,0.2459,999.0000,0.9446,0.0000,999.0000,999.0000
  Max DD (P4),,,,statistic,  Max DD (P4) for each solution,$0.00,$0.00,$621.15,$86.85,$642.17,$0.00,$195.50,$0.00,$0.00,$0.00
  Total PNL (P4),,,,statistic,  Total PNL (P4) for each solution,$-112.46,$-2.60,$-555.00,$-10.85,$-581.17,$87.40,$-10.83,$-91.10,$4.26,$108.67
  Avg Profit/Tr (P4),,,,statistic,  Avg Profit/Tr (P4) for each solution,$-112.46,$-2.60,$-111.00,$-5.43,$-83.02,$43.70,$-3.61,$-91.10,$4.26,$108.67
Solution Rank,,,,statistic,Rank by Sortino (0 = highest),#0 (SELECTED),#1,#2,#3,#4,#5,#6,#7,#8,#9
