Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88,Solution_89,Solution_90,Solution_91,Solution_92,Solution_93,Solution_94,Solution_95,Solution_96,Solution_97,Solution_98,Solution_99,Solution_100,Solution_101,Solution_102,Solution_103,Solution_104,Solution_105,Solution_106,Solution_107,Solution_108,Solution_109,Solution_110,Solution_111,Solution_112,Solution_113,Solution_114,Solution_115,Solution_116,Solution_117,Solution_118,Solution_119,Solution_120,Solution_121,Solution_122,Solution_123,Solution_124,Solution_125,Solution_126,Solution_127,Solution_128,Solution_129,Solution_130
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Short Trigger (% From Upper Band),0.5,0,2.0,float,% above upper band to trigger (min 0.5% to avoid band extremes),1.632,1.5419,2.0,1.5393,1.5283,2.0,1.5885,1.4868,1.3926,1.218,1.6464,1.3266,1.5545,1.4913,1.8855,1.8859,1.1762,1.1762,1.4388,2.0,2.0,1.8943,1.7555,1.7555,1.0608,1.8938,1.8942,1.3227,1.5456,1.5042,1.5164,1.1642,1.4869,1.3266,1.8939,1.5042,1.7283,1.7555,1.8962,1.9687,1.133,1.3865,1.9703,1.5925,1.4114,1.5547,1.9159,1.5324,1.2826,1.8969,1.703,1.703,1.3977,1.8737,1.703,1.5741,1.9554,1.9142,1.5037,1.9106,1.9601,1.5126,1.6327,2.0,1.7279,1.4866,1.89,1.663,1.663,1.7491,1.9059,1.6699,1.5953,1.891,1.6255,1.891,1.9818,1.888,1.7111,1.9818,1.4605,1.5235,1.7781,1.8901,1.5328,1.5328,1.7559,1.8584,1.5517,1.382,1.7291,1.891,1.4607,1.7427,1.6079,1.6774,1.6723,1.6028,1.6382,1.5247,1.6177,1.6694,1.683,1.7566,1.4759,1.6121,1.3841,2.0,1.3308,1.3551,1.8817,1.5905,1.5049,1.4649,1.7174,1.5905,1.4375,1.6875,1.6576,1.3953,1.4375,1.3589,1.3048,2.0,1.7018,1.5131,1.9354,1.6857,1.6037,1.3219,1.4598
ATR Length for Filter,26,10,100,int,ATR period for entry filter (separate from trailing stop ATR),34,34,35,34,34,35,34,35,34,34,34,34,35,34,34,34,35,35,36,34,35,34,34,34,34,35,34,34,34,34,35,35,35,34,35,34,34,34,34,36,36,36,34,35,33,35,35,37,37,35,35,35,34,34,35,35,36,34,33,36,36,35,34,35,35,35,35,35,35,35,36,34,35,35,34,35,35,35,35,35,35,35,35,35,35,35,34,34,34,34,34,34,34,34,35,34,34,34,35,35,34,34,35,34,35,34,35,35,35,35,36,35,35,35,34,35,35,34,34,35,35,35,35,35,35,35,35,34,35,35,35
Max ATR Filter (Points),4.0,0.5,6.0,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,3.9556,3.9889,3.9128,4.7223,3.8064,3.9128,4.7221,4.0391,3.9459,3.9021,3.9374,3.9459,3.6194,4.374,3.9506,4.442,4.4574,4.4574,4.4467,4.4479,3.8782,4.0963,3.4246,3.4246,4.2717,4.1158,4.097,3.9817,3.889,4.5315,3.9721,4.3939,3.9529,4.4095,4.1151,4.5315,3.8978,3.4246,4.4795,4.4453,4.3774,4.4538,4.39,4.3279,4.3216,4.9418,3.6093,4.6968,4.1907,4.5485,3.9194,3.9194,4.6463,4.3523,3.9034,4.7351,4.5585,4.4572,4.0404,4.5321,4.5211,4.4781,4.1699,4.4354,3.9214,4.1009,4.2609,3.9287,3.9287,4.3482,4.5696,5.1348,4.0499,3.5732,3.9615,3.5732,4.1777,3.8985,3.9187,4.1777,3.9832,3.8749,4.5535,4.249,3.6208,3.6208,3.7176,4.4064,3.6638,3.9474,3.7513,4.146,3.9337,4.1895,4.2842,3.9506,3.9455,3.8671,4.0105,3.5723,4.3165,4.0432,3.9146,3.7083,3.4195,4.0491,3.6888,3.8321,4.0469,3.8041,3.7077,3.9146,4.3226,4.3303,4.5056,3.9146,3.455,3.8518,4.6071,3.9224,3.9572,4.0539,3.8706,3.8523,3.8523,4.3239,3.8248,3.6951,4.0219,3.9698,3.9732
Min ATR Filter (Points),0.5,0.5,1.0,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,0.8155,0.7985,0.909,1.0,0.6984,0.909,1.0,0.5,0.6359,0.762,0.8365,0.5587,0.5,1.0,0.8073,0.7561,0.8721,0.8721,0.68,0.5,0.8739,0.6872,0.9956,0.9956,0.7649,0.8265,0.5861,0.8395,0.8395,0.6009,0.9532,0.5,0.824,0.5587,0.9276,0.7664,0.8911,0.9956,0.5239,0.9585,0.5,0.7457,0.7045,1.0,0.7789,0.979,0.9993,0.819,0.7399,0.5,1.0,1.0,0.835,1.0,1.0,0.9792,0.6039,0.5876,0.5,0.5039,0.5,1.0,0.5,0.9901,0.9995,0.5,0.5,1.0,1.0,0.6103,0.5982,0.5,0.9969,0.5,0.5,0.5,1.0,0.5796,0.6766,1.0,0.6859,0.8047,0.5,0.5,0.6603,0.6603,0.5,0.5,0.5,0.6736,0.9794,0.6787,0.6126,0.7049,0.6818,0.8341,0.5702,0.5951,0.9826,0.8691,0.8491,1.0,0.9897,1.0,0.6021,1.0,0.9036,1.0,0.5724,0.5,0.5605,0.7578,0.7105,0.6775,0.5772,0.7578,0.5683,0.5,0.8497,0.5403,1.0,0.5668,0.5,0.5217,0.5217,0.6383,0.5,0.5621,0.5407,0.5,0.5
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTH Exit Buffer (minutes),0,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close),9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance Start (HH:MM),17:00,17:00,17:00,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance End (HH:MM),17:30,17:30,17:30,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Day,4,4,4,int,"Weekend maintenance start day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 4 (Friday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Time (HH:MM),17:00,17:00,17:00,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Day,6,6,6,int,"Weekend maintenance end day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 6 (Sunday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Time (HH:MM),18:00,18:00,18:00,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance Buffer Minutes,5,1,30,int,Minutes before/after maintenance to exit/block trading,4,4,4,5,4,4,5,4,4,4,4,4,5,5,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,3,3,4,3,4,4,3,4,4,3,3,4,3,3,3,3,4,5,3,3,3,4,4,3,3,4,5,3,3,3,3,3,5,3,5,4,4,3,4,4,3,3,3,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Volume MA Length,50,10,200,int,Rolling window for average volume calculation (used by volume filter),118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
Max Volume Multiplier,1.2,0.1,3.0,float,"Volume filter for mean reversion - MAX volume allowed (volume <= avg * multiplier). Low volume = exhausted move ready to reverse. High volume = strong momentum (bad for mean reversion). Range 0.5-3.0 (1.0 = no filter, lower = more restrictive)",1.439,1.3149,1.5039,1.624,1.4635,1.5331,1.7377,1.7101,1.3154,1.4146,1.4963,1.4127,1.6453,1.5487,1.3926,1.5789,1.3941,1.3941,1.908,1.5958,1.4533,1.4678,1.3609,1.3609,1.2113,1.4548,1.4676,1.4713,1.4713,1.3978,1.4634,1.2588,1.8008,1.4127,1.455,1.4203,1.553,1.8108,1.5751,2.2748,1.8629,1.5159,1.9789,1.6711,1.5483,0.6389,0.6289,1.9178,1.9871,2.2731,1.6398,1.6398,1.4203,1.6042,1.6398,0.9102,2.0117,1.5579,1.8566,2.2734,1.8577,1.7165,2.1839,1.606,1.6172,0.7255,2.0773,1.656,1.656,2.1947,2.3329,1.3293,1.6691,2.0783,1.6717,2.1831,1.3854,1.7009,1.7562,1.3854,1.8017,1.6624,2.2015,2.098,1.433,1.433,1.4955,1.4569,1.4876,1.3066,1.5511,1.4213,1.4086,1.758,1.7155,1.4897,1.433,1.3601,1.4841,1.0577,1.4806,1.6691,1.4448,1.4965,1.6951,1.6692,1.4197,1.4285,1.6051,1.4988,1.5522,1.9556,1.5217,1.5501,1.5536,1.6046,1.4716,1.16,1.5432,1.6592,1.5034,1.6039,1.7253,1.2817,1.2817,1.6451,1.264,1.3727,1.7421,1.8134,1.7263
Timeframe (minutes),15,1,15,int,Resample timeframe in minutes,3,3,3,4,3,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,4,4,3,4,3,3,3,4,4,3,3,4,4,4,4,3,3,4,3,3,4,4,4
Max Open Trades,1,1,1,int,Maximum concurrent positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction Cost (Per Trade),20.0,20,20,float,Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== TAKE PROFIT CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP Method,0,0,2,int,"Take profit method (0=Fixed BB at Entry, 1=Fixed ATR, 2=Opposite BB) - OPTIMIZABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opposite Bollinger Band TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fixed ATR TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fixed BB at Entry TP,true,true,true,bool,FIXED: Controlled by TP Method (do not optimize directly),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ATR Length for TP,26,5,80,int,ATR period for fixed TP,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,12,12,13,12,12,12,12,12
