Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16
Enable ADX Filter,1,0,1,int,Trade only when ADX < Threshold (Ranging Markets) - OPTIMIZABLE,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ADX Period,14,5,35,int,Lookback period for ADX calculation,15,29,19,5,33,23,15,17,6,35,15,15,33,5,33,5,33
Max ADX Threshold,25,10,45,int,Maximum ADX allowed for entry. Lower = Only extremely choppy. Higher = Allow some trend.,43,10,45,30,37,39,34,30,43,44,43,42,15,30,43,30,37
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1
RTH Exit Buffer (minutes),0,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close),20,40,15,41,43,44,44,37,6,32,20,18,37,44,44,41,43
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods,,,,,,,,,,,,,,,,,
Daily Maintenance Start (HH:MM),17:00,17:00,17:00,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,
Daily Maintenance End (HH:MM),17:30,17:30,17:30,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET),,,,,,,,,,,,,,,,,
Weekend Maintenance Start Day,4,4,4,int,"Weekend maintenance start day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 4 (Friday)",,,,,,,,,,,,,,,,,
Weekend Maintenance Start Time (HH:MM),17:00,17:00,17:00,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,
Weekend Maintenance End Day,6,6,6,int,"Weekend maintenance end day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 6 (Sunday)",,,,,,,,,,,,,,,,,
Weekend Maintenance End Time (HH:MM),18:00,18:00,18:00,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET),,,,,,,,,,,,,,,,,
Maintenance Buffer Minutes,5,1,30,int,Minutes before/after maintenance to exit/block trading,1,19,17,28,10,9,21,2,9,10,1,26,10,20,10,28,10
Volume MA Length,50,10,200,int,Rolling window for average volume calculation (used by volume filter),151,54,10,121,33,200,147,196,115,119,151,52,10,152,200,121,33
Max Volume Multiplier,1.2,0.1,5,float,"Volume filter for mean reversion - MAX volume allowed (volume <= avg * multiplier). Low volume = exhausted move ready to reverse. High volume = strong momentum (bad for mean reversion). Range 0.5-3.0 (1.0 = no filter, lower = more restrictive)",0.1,3.9072,3.6139,2.3343,3.8766,3.648,0.9199,2.4971,4.6901,4.2978,0.1,3.6456,3.8755,3.6969,0.871,2.3343,3.8766
Timeframe (minutes),15,1,5,int,Resample timeframe in minutes,4,4,4,4,5,4,2,3,3,4,4,4,4,2,4,4,5
Max Open Trades,1,1,1,int,Maximum concurrent positions,,,,,,,,,,,,,,,,,
Transaction Cost (Per Trade),15,15,15,float,Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5,,,,,,,,,,,,,,,,,
=== TAKE PROFIT CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,
TP Method,0,0,2,int,"Take profit method (0=Fixed BB at Entry, 1=Fixed ATR, 2=Opposite BB) - OPTIMIZABLE",,,,,,,,,,,,,,,,,
Opposite Bollinger Band TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),True,True,False,True,False,False,True,True,False,False,True,True,False,True,False,True,False
Fixed ATR TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True
Fixed BB at Entry TP,true,true,true,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
ATR Length for TP,26,5,80,int,ATR period for fixed TP,47,49,46,40,46,43,44,33,80,43,47,45,50,37,50,40,46
ATR Multiplier for TP,2,0,6,float,Fixed TP ATR multiplier - reduced max to prevent overfitting,0.5715,3.6121,1.632,0.9936,2.8116,4.0534,2.7472,0.0,3.3007,1.8269,0.4224,3.1222,2.1219,4.3104,2.4902,1.2358,2.8116
=== STOP LOSS CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,
Initial Stop Loss (%),1,0.1,2,float,Fixed stop loss % - min 1.0% to avoid tight stops that cause quick losses,1.1614,1.0705,0.3037,0.3977,1.0632,0.2146,1.2602,0.3176,2.0,1.3497,1.2163,0.3061,1.0682,0.2999,1.1749,0.3977,1.0632
Enable Trailing Stop,1,1,1,int,"Use ATR trailing stop (0=false, 1=true) - OPTIMIZABLE",,,,,,,,,,,,,,,,,
ATR Length for Trailing Stop,26,3,100,int,ATR period for trailing,91,28,68,34,77,35,71,6,38,14,91,22,74,31,75,34,77
ATR Multiplier for Trailing Stop,2,0.1,4.5,float,Trailing stop ATR multiplier - reduced max to prevent overfitting,4.5,1.8327,4.2446,1.8427,4.3961,3.9114,2.4402,3.3488,1.2879,1.4643,4.3491,1.8981,4.1791,2.421,3.9306,1.8427,4.3961
Trailing Delay (bars),5,0,5,int,"Bars before trailing stop begins tightening (0 = immediate, max 7 to avoid delayed trailing)",5,3,3,2,3,3,2,0,3,4,5,4,2,2,3,2,3
=== GA CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,
POP_SIZE,100,100,150,int,Population size - reduced to prevent overfitting,,,,,,,,,,,,,,,,,
NUM_GEN,100,50,75,int,Number of generations - reduced to prevent overfitting,,,,,,,,,,,,,,,,,
CX_PB,0.7,0.5,0.9,float,Crossover probability,,,,,,,,,,,,,,,,,
MUT_PB,0.4,0.2,0.5,float,Mutation probability (increased from 0.35 for more exploration),,,,,,,,,,,,,,,,,
MUT_MU,0,-1,1,float,Mutation mean,,,,,,,,,,,,,,,,,
MUT_SIGMA,0.25,0.1,0.4,float,Mutation std dev,,,,,,,,,,,,,,,,,
TARGET_TRADES_DAY,5,1,4,int,Ideal trades/day - reduced to be more realistic for combined filters,,,,,,,,,,,,,,,,,
TRADES_PENALTY_WEIGHT,0.3,0.1,0.8,float,Penalty for excess trades - reduced to be less restrictive,,,,,,,,,,,,,,,,,
DD_WEIGHT,0.5,0.2,0.8,float,Drawdown penalty weight - increased to prioritize risk management,,,,,,,,,,,,,,,,,
DATA_SPLITS,0.65,0.6,0.7,float,In-sample fraction per period - 60-70% for better generalization (30-40% OOS),,,,,,,,,,,,,,,,,
DATA_SIZE,0,0,10000000,int,Rows to subsample (0 = full dataset),,,,,,,,,,,,,,,,,
=== RSI & VWAP FILTERS (V5) ===,,,,,,,,,,,,,,,,,,,,,,
Enable RSI Filter,0,1,1,int,Enable RSI Divergence/Extreme Filter,,,,,,,,,,,,,,,,,
RSI Period,14,5,30,int,RSI Lookback Period,15,16,18,5,16,12,18,5,10,19,15,15,19,9,21,5,16
RSI Overbought,70,60,85,int,Threshold for Overbought (Short Entry Blocked if < this),69,65,64,79,62,77,77,85,68,66,69,66,63,81,73,79,62
RSI Oversold,30,15,40,int,Threshold for Oversold (Long Entry Blocked if > this),40,35,17,18,32,20,35,33,24,24,40,21,31,18,37,18,32
Enable VWAP Filter,0,1,1,int,Enable VWAP Trend Alignment Filter,,,,,,,,,,,,,,,,,
USE_INTERLEAVED_SPLIT,true,false,true,bool,Use interleaved IS/OOS periods instead of single split,,,,,,,,,,,,,,,,,
NUM_SPLIT_PERIODS,5,3,7,int,Number of alternating periods (IS-OOS-IS-OOS-IS) - odd number recommended,,,,,,,,,,,,,,,,,
MIN_TRADES_DAY,2,0.5,2,float,MUST have at least 0.1 trades/day (approx 1 per 2 weeks) - relaxed for combined logic,,,,,,,,,,,,,,,,,
MIN_TRADES_PEN_WEIGHT,-500,-200,-50,float,Scalar penalty — zero trades = -50 (Less harsh death penalty),,,,,,,,,,,,,,,,,
NORM_SORTINO_MAX,10,5,20,float,Normalization range for Sortino Ratio (used in fitness calculation),,,,,,,,,,,,,,,,,
NORM_DD_MAX,50000,50000,200000,float,Normalization range for Max Drawdown in dollars (used in fitness calculation),,,,,,,,,,,,,,,,,
NORM_PF_MAX,5,3,10,float,Normalization range for Profit Factor (used in fitness calculation),,,,,,,,,,,,,,,,,
NORM_TRADES_MAX,3,1,5,float,Normalization range for Avg Trades/Day (used in fitness calculation) - reduced to 3.0 for realistic expectations,,,,,,,,,,,,,,,,,
NORM_PNL_MAX,650000,100000,1000000,float,Normalization range for Total Profit in dollars (used in fitness calculation) - increased to prevent maxing out,,,,,,,,,,,,,,,,,
NORM_PROFIT_TRADE_MAX,60,100,500,float,Normalization range for Avg Profit Per Trade (used in fitness calculation),,,,,,,,,,,,,,,,,
MIN_WIN_RATE,0.4,0.3,0.5,float,Minimum win rate threshold (hard constraint - strategies below this are eliminated),,,,,,,,,,,,,,,,,
SORTINO_CAP,10,5,20,float,Maximum Sortino value before capping (prevents unrealistic values),,,,,,,,,,,,,,,,,
GA_START_DATE,2024-01-01,,,str,Start date for GA backtest,,,,,,,,,,,,,,,,,
GA_END_DATE,2024-12-31,,,str,End date for GA backtest,,,,,,,,,,,,,,,,,
WEIGHT_SORTINO,1.0,,,float,Fitness weight: Sortino Ratio,,,,,,,,,,,,,,,,,
WEIGHT_DRAWDOWN,-1.0,,,float,Fitness weight: Max Drawdown,,,,,,,,,,,,,,,,,
WEIGHT_PF,1.0,,,float,Fitness weight: Profit Factor,,,,,,,,,,,,,,,,,
WEIGHT_TRADES,3.0,,,float,Fitness weight: Avg Trades/Day,,,,,,,,,,,,,,,,,
WEIGHT_PNL,2.0,,,float,Fitness weight: Total Profit,,,,,,,,,,,,,,,,,
WEIGHT_PPT,2.0,,,float,Fitness weight: Avg Profit/Trade,,,,,,,,,,,,,,,,,
MIN_TRADE_DURATION,2.0,,,float,Hard Limit: Min avg minutes per trade,,,,,,,,,,,,,,,,,
MAX_WIN_RATE_CAP,0.95,,,float,Hard Limit: Max win rate before penalty,,,,,,,,,,,,,,,,,
LIMIT_MAX_LOSS,50000,,,float,Hard Limit: Severe loss penalty threshold,,,,,,,,,,,,,,,,,
LIMIT_MIN_SORTINO,1.0,,,float,Hard Limit: Severe Sortino penalty threshold,,,,,,,,,,,,,,,,,
=== SOLUTION STATISTICS ===,,,,,,,,,,,,,,,,,,,,,,
Sortino Ratio (IS),,,,statistic,Sortino Ratio (IS) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Max Drawdown (IS) ($),,,,statistic,Max Drawdown (IS) ($) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Profit Factor (IS),,,,statistic,Profit Factor (IS) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Avg Trades/Day (IS),,,,statistic,Avg Trades/Day (IS) for each solution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total Profit (IS) ($),,,,statistic,Total Profit (IS) ($) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Avg Profit/Trade (IS) ($),,,,statistic,Avg Profit/Trade (IS) ($) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
---,,,,statistic,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Sortino Ratio (OOS),,,,statistic,Sortino Ratio (OOS) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Max Drawdown (OOS) ($),,,,statistic,Max Drawdown (OOS) ($) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Profit Factor (OOS),,,,statistic,Profit Factor (OOS) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Avg Trades/Day (OOS),,,,statistic,Avg Trades/Day (OOS) for each solution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Total Profit (OOS) ($),,,,statistic,Total Profit (OOS) ($) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Avg Profit/Trade (OOS) ($),,,,statistic,Avg Profit/Trade (OOS) ($) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
---,,,,statistic,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
--- ROBUSTNESS EVALUATION ---,,,,statistic,--- ROBUSTNESS EVALUATION --- for each solution,,,,,,,,,,,,,,,,,
Sortino IS-to-OOS Degradation,,,,statistic,Sortino IS-to-OOS Degradation for each solution,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Positive OOS Splits,,,,statistic,Positive OOS Splits for each solution,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2,0/2
Live-Ready Robustness Score,,,,statistic,Live-Ready Robustness Score for each solution,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00,-10.00
---,,,,statistic,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
--- PER-SPLIT DETAIL (In-Sample) ---,,,,statistic,--- PER-SPLIT DETAIL (In-Sample) --- for each solution,,,,,,,,,,,,,,,,,
  Sortino (P1),,,,statistic,  Sortino (P1) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  Trades/D (P1),,,,statistic,  Trades/D (P1) for each solution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
  Profit Fac (P1),,,,statistic,  Profit Fac (P1) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  Max DD (P1),,,,statistic,  Max DD (P1) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Total PNL (P1),,,,statistic,  Total PNL (P1) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Avg Profit/Tr (P1),,,,statistic,  Avg Profit/Tr (P1) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Sortino (P3),,,,statistic,  Sortino (P3) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  Trades/D (P3),,,,statistic,  Trades/D (P3) for each solution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
  Profit Fac (P3),,,,statistic,  Profit Fac (P3) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  Max DD (P3),,,,statistic,  Max DD (P3) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Total PNL (P3),,,,statistic,  Total PNL (P3) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Avg Profit/Tr (P3),,,,statistic,  Avg Profit/Tr (P3) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Sortino (P5),,,,statistic,  Sortino (P5) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  Trades/D (P5),,,,statistic,  Trades/D (P5) for each solution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
  Profit Fac (P5),,,,statistic,  Profit Fac (P5) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  Max DD (P5),,,,statistic,  Max DD (P5) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Total PNL (P5),,,,statistic,  Total PNL (P5) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Avg Profit/Tr (P5),,,,statistic,  Avg Profit/Tr (P5) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
---,,,,statistic,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
--- PER-SPLIT DETAIL (Out-of-Sample) ---,,,,statistic,--- PER-SPLIT DETAIL (Out-of-Sample) --- for each solution,,,,,,,,,,,,,,,,,
  Sortino (P2),,,,statistic,  Sortino (P2) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  Trades/D (P2),,,,statistic,  Trades/D (P2) for each solution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
  Profit Fac (P2),,,,statistic,  Profit Fac (P2) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  Max DD (P2),,,,statistic,  Max DD (P2) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Total PNL (P2),,,,statistic,  Total PNL (P2) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Avg Profit/Tr (P2),,,,statistic,  Avg Profit/Tr (P2) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Sortino (P4),,,,statistic,  Sortino (P4) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  Trades/D (P4),,,,statistic,  Trades/D (P4) for each solution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
  Profit Fac (P4),,,,statistic,  Profit Fac (P4) for each solution,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
  Max DD (P4),,,,statistic,  Max DD (P4) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Total PNL (P4),,,,statistic,  Total PNL (P4) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
  Avg Profit/Tr (P4),,,,statistic,  Avg Profit/Tr (P4) for each solution,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Solution Rank,,,,statistic,Rank by Sortino (0 = highest),#0 (SELECTED),#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16
