Name,Value,Min,Max,Type,Description,Solution_0_SELECTED,Solution_1,Solution_2,Solution_3,Solution_4,Solution_5,Solution_6,Solution_7,Solution_8,Solution_9,Solution_10,Solution_11,Solution_12,Solution_13,Solution_14,Solution_15,Solution_16,Solution_17,Solution_18,Solution_19,Solution_20,Solution_21,Solution_22,Solution_23,Solution_24,Solution_25,Solution_26,Solution_27,Solution_28,Solution_29,Solution_30,Solution_31,Solution_32,Solution_33,Solution_34,Solution_35,Solution_36,Solution_37,Solution_38,Solution_39,Solution_40,Solution_41,Solution_42,Solution_43,Solution_44,Solution_45,Solution_46,Solution_47,Solution_48,Solution_49,Solution_50,Solution_51,Solution_52,Solution_53,Solution_54,Solution_55,Solution_56,Solution_57,Solution_58,Solution_59,Solution_60,Solution_61,Solution_62,Solution_63,Solution_64,Solution_65,Solution_66,Solution_67,Solution_68,Solution_69,Solution_70,Solution_71,Solution_72,Solution_73,Solution_74,Solution_75,Solution_76,Solution_77,Solution_78,Solution_79,Solution_80,Solution_81,Solution_82,Solution_83,Solution_84,Solution_85,Solution_86,Solution_87,Solution_88
Short Entry on Body in Zone,1,0,1,int,"Enter if close ≥ upper band (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Short Trigger (% From Upper Band),0.5,0,2,float,% above upper band to trigger (min 0.5% to avoid band extremes),0.1099,0.218,0.218,0.218,0.218,0.1206,0.1228,0.1312,0.2138,0.1267,0.1292,0.1292,0.1115,0.1292,0.0,0.0449,0.0012,0.0,0.0336,0.2932,0.0336,0.0336,0.0336,0.1132,0.1322,0.0951,0.0999,0.0999,0.1273,0.1248,0.104,0.1149,0.1154,0.147,0.1092,0.112,0.0077,0.1535,0.0482,0.0482,0.1098,0.3932,0.0,0.0,0.0,0.0,0.1253,0.1235,0.0181,0.1317,0.0,0.1227,0.0334,0.0,0.0334,0.123,0.1247,0.1247,0.269,0.1303,0.1303,0.1303,0.1311,0.1303,0.1303,0.1193,0.013,0.6198,0.0982,0.6198,0.0614,0.0614,0.0614,0.0614,0.0614,0.0614,0.1143,0.1295,0.0135,0.1426,0.8045,0.0017,0.628,0.0,0.4395,0.0017,0.0017,0.0017,0.449
ATR Length for Filter,26,5,20,int,ATR period for entry filter (separate from trailing stop ATR),17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,18,18,18,18,18,18,18,18,18
Max ATR Filter (Points),4,2,10,float,Maximum ATR value to allow entries for mean reversion (ATR <= max). Low ATR = exhausted move ready to reverse (good). High ATR = strong momentum (bad for mean reversion). Range 1.0-6.0 points,5.8721,5.9,5.9,5.9,5.9,5.8832,5.6627,5.7908,5.857,5.5982,5.6318,5.6318,5.857,5.6318,6.1145,6.1145,6.1145,6.1145,6.1145,5.8952,6.2301,5.9863,5.9863,5.5449,6.0265,6.0558,6.6422,6.6422,5.7651,6.3162,6.7869,6.8137,6.7033,5.7177,6.3358,5.8511,5.9202,5.6747,5.8278,5.8278,5.8494,5.7316,6.3974,6.2539,6.2539,6.2539,5.8217,5.5902,6.1552,5.9219,5.8553,5.8622,5.9322,6.1533,6.2483,5.7614,5.7316,5.7316,5.8404,6.2319,6.2319,6.2319,5.7924,6.2319,6.2319,5.969,5.6663,6.2079,5.8516,6.2079,5.929,5.929,5.929,5.929,5.929,5.929,6.068,5.8106,5.186,5.7853,5.4702,5.4702,5.4702,5.4702,5.4702,5.4702,5.4702,5.4702,5.7113
Min ATR Filter (Points),0.5,0.1,6,float,Minimum ATR floor (optional) to ensure stops aren't too tight. Default 0.5 points. ATR must be >= this AND <= Max ATR Filter,0.6509,0.5962,0.5962,0.5962,0.5962,0.4736,0.5862,0.5821,0.5819,0.582,0.5827,0.5827,0.5933,0.5827,0.48,0.48,0.48,0.48,0.48,0.5855,0.48,0.48,0.48,0.5822,0.5826,0.5681,0.5823,0.5823,0.5827,0.5463,0.5823,0.5824,0.5822,0.5851,0.5617,0.1,0.4641,0.6039,0.5972,0.5972,0.1,0.582,0.4897,0.4897,0.4897,0.4897,0.5829,0.5822,0.5009,0.5823,0.4799,0.1,0.4591,0.4897,0.4591,0.5822,0.582,0.582,0.4621,0.5019,0.5019,0.5019,0.5837,0.4771,0.4771,0.5822,0.5595,0.583,0.5847,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.5677,0.5751,0.549,0.6005,0.5438,0.5438,0.5438,0.5438,0.5438,0.5438,0.5438,0.5438,0.5438
Enable Trend Filter,1,0,1,int,"Trade with trend only (Long > EMA, Short < EMA) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
Trend EMA Length,200,10,400,int,EMA Length for trend filter,200,200,200,200,200,200,198,198,198,198,198,198,198,198,202,202,202,202,202,197,202,202,202,198,198,198,198,198,198,198,198,198,198,199,199,200,196,199,198,198,200,198,200,200,200,200,198,198,199,198,198,200,198,200,198,199,198,198,198,199,199,199,198,199,199,198,198,197,200,197,197,197,197,197,197,197,199,198,197,197,197,197,197,197,197,197,197,197,197
Enable ADX Filter,1,0,1,int,Trade only when ADX < Threshold (Ranging Markets) - OPTIMIZABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADX Period,14,5,35,int,Lookback period for ADX calculation,33,34,34,34,34,31,28,30,32,30,30,30,32,30,33,33,33,33,33,32,33,33,33,30,30,33,30,30,30,30,30,30,30,28,31,35,34,30,30,30,31,30,31,31,31,31,31,30,31,30,30,32,27,31,27,30,31,30,30,30,30,30,30,30,30,30,35,30,31,30,30,30,30,30,30,30,32,30,32,30,33,33,33,33,33,33,33,33,33
Max ADX Threshold,25,10,45,int,Maximum ADX allowed for entry. Lower = Only extremely choppy. Higher = Allow some trend.,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,29,28,28,28,28,28,28,28,28,28
RTH Start (HH:MM),09:30,09:30,09:30,str,Regular trading hours start (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTH End (HH:MM),16:00,16:00,16:00,str,Regular trading hours end (Eastern Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable RTH Filter,1,0,1,int,"Restrict entries to RTH only (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTH Exit Buffer (minutes),0,0,60,int,Minutes before RTH end to start closing positions (0 = no auto-close),30,30,30,30,30,30,31,31,30,31,31,31,30,31,30,30,30,30,30,29,30,30,30,31,31,31,30,30,31,31,31,31,31,31,30,30,30,31,30,30,30,31,30,30,30,30,31,31,30,31,29,30,30,30,30,31,31,31,29,31,31,31,30,31,31,31,30,30,30,30,30,30,30,30,30,30,31,30,30,30,30,30,30,30,30,30,30,30,30
Enable Maintenance Filter,true,false,true,bool,Exit positions before maintenance periods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance Start (HH:MM),17:00,17:00,17:00,str,Daily maintenance period start in Eastern Time (ES: 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Maintenance End (HH:MM),17:30,17:30,17:30,str,Daily maintenance period end in Eastern Time (ES: 4:30 PM CT = 5:30 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Day,4,4,4,int,"Weekend maintenance start day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 4 (Friday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance Start Time (HH:MM),17:00,17:00,17:00,str,Weekend maintenance start time in Eastern Time (ES: Fri 4:00 PM CT = 5:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Day,6,6,6,int,"Weekend maintenance end day (0=Monday, 1=Tuesday, 2=Wednesday, 3=Thursday, 4=Friday, 5=Saturday, 6=Sunday). For ES futures: 6 (Sunday)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekend Maintenance End Time (HH:MM),18:00,18:00,18:00,str,Weekend maintenance end time in Eastern Time (ES: Sun 5:00 PM CT = 6:00 PM ET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maintenance Buffer Minutes,5,1,30,int,Minutes before/after maintenance to exit/block trading,22,19,19,19,19,22,21,21,20,21,21,21,20,21,19,19,19,19,19,19,19,20,20,21,21,19,21,21,20,21,21,21,21,18,21,22,17,21,21,21,22,21,21,21,21,21,21,21,21,21,18,22,22,21,22,21,21,21,18,21,21,21,21,21,21,21,16,19,18,19,19,19,19,19,19,19,18,21,11,22,11,11,11,11,11,11,11,11,11
Volume MA Length,50,10,200,int,Rolling window for average volume calculation (used by volume filter),119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,118,119,119,119,119,119,119,119,119,119,118,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,118,118,118,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,118,119,118,118,118,118,118,118,118,118,118
Max Volume Multiplier,1.2,0.1,5,float,"Volume filter for mean reversion - MAX volume allowed (volume <= avg * multiplier). Low volume = exhausted move ready to reverse. High volume = strong momentum (bad for mean reversion). Range 0.5-3.0 (1.0 = no filter, lower = more restrictive)",1.4082,1.4836,1.4836,1.4836,1.4836,1.4058,1.4409,1.3022,1.5001,1.3198,1.329,1.329,1.5001,1.329,1.5099,1.5099,1.5099,1.5099,1.5099,1.4932,1.5446,1.5446,1.5446,1.487,1.3334,1.4391,1.5901,1.5901,1.3928,1.468,1.6177,1.5877,1.6865,1.4085,1.4645,1.4092,1.5036,1.4345,1.3888,1.3888,1.4092,1.4631,1.464,1.464,1.464,1.464,1.6733,1.4485,1.4933,1.3452,1.7951,1.4068,1.4733,1.464,1.4733,1.8762,1.6698,1.6698,1.7951,1.6742,1.6742,1.6742,1.2579,1.6742,1.6742,1.6741,1.8533,1.8863,1.4534,1.9233,1.7882,1.7882,1.7882,1.7882,1.7882,1.7882,1.4555,1.3492,2.1252,1.4485,2.1768,2.1768,2.1768,2.1768,2.1768,2.1768,2.1768,2.1768,2.1768
Timeframe (minutes),15,1,15,int,Resample timeframe in minutes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Max Open Trades,1,1,1,int,Maximum concurrent positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transaction Cost (Per Trade),20,20,20,float,Estimated friction per trade (Slippage + Commissions) to realistic PnL. E.g. $4 comm + $12.50 slip = 16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== TAKE PROFIT CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP Method,0,0,2,int,"Take profit method (0=Fixed BB at Entry, 1=Fixed ATR, 2=Opposite BB) - OPTIMIZABLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opposite Bollinger Band TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fixed ATR TP,false,false,false,bool,FIXED: Controlled by TP Method (do not optimize directly),True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Fixed BB at Entry TP,true,true,true,bool,FIXED: Controlled by TP Method (do not optimize directly),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ATR Length for TP,26,5,80,int,ATR period for fixed TP,22,26,26,26,26,23,23,24,24,24,24,24,24,24,26,26,26,26,26,24,26,26,26,24,24,24,24,24,24,24,24,24,24,23,22,25,27,24,24,24,26,24,22,22,22,22,24,24,23,24,21,26,22,22,22,24,24,24,21,24,24,24,24,24,24,24,22,22,20,22,22,22,22,22,22,22,23,24,26,23,26,26,26,26,26,26,26,26,26
ATR Multiplier for TP,2,0,6,float,Fixed TP ATR multiplier - reduced max to prevent overfitting,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.8574,6.0,5.9612,5.965,5.965,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.9699,6.0,6.0,6.0,6.0,5.9498,5.9292,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.9836,6.0,6.0,6.0,5.9884,5.9884,6.0,6.0,6.0,5.9666,5.9666,5.9666,5.5717,5.9774,5.9378,5.8588,5.6404,6.0,5.9663,5.9364,5.9663,5.8366,5.5124,6.0,5.6404,6.0,6.0,6.0,5.8562,5.8807,5.8807,5.7601,6.0,5.8963,6.0,5.8963,6.0,6.0,6.0,6.0,6.0,6.0,5.9459,5.8636,5.8627,6.0,5.7385,5.7385,5.7385,5.7385,5.7385,5.7385,5.7385,5.7385,5.7385
=== STOP LOSS CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Stop Loss (%),1,0.1,2,float,Fixed stop loss % - min 1.0% to avoid tight stops that cause quick losses,0.5607,0.5611,0.5611,0.5611,0.5611,0.5591,0.5598,0.5678,0.5627,0.5588,0.5587,0.5587,0.5627,0.5587,0.5612,0.5612,0.5612,0.5612,0.5612,0.5625,0.5612,0.5612,0.5612,0.5595,0.5579,0.5632,0.559,0.559,0.559,0.5585,0.5573,0.5573,0.5568,0.5611,0.5592,0.5634,0.5616,0.5578,0.5578,0.5578,0.9522,0.5591,0.5597,0.5597,0.5597,0.5597,0.5592,0.5586,0.5584,0.5581,0.5706,0.9083,0.5588,0.5597,0.5588,0.5598,0.5591,0.5591,0.5706,0.5578,0.5578,0.5578,0.5647,0.5578,0.5578,0.56,0.5647,0.5666,0.5626,0.5666,0.5666,0.5666,0.5666,0.5666,0.5666,0.5666,0.5637,0.571,0.4021,0.5672,0.4018,0.4018,0.4018,0.4018,0.4018,0.4018,0.4018,0.4018,0.4018
Enable Trailing Stop,1,0,1,int,"Use ATR trailing stop (0=false, 1=true) - OPTIMIZABLE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATR Length for Trailing Stop,26,3,100,int,ATR period for trailing,59,60,60,60,60,59,61,61,58,56,56,56,58,56,60,60,60,60,60,60,60,60,60,56,56,56,56,56,56,56,56,56,56,60,56,59,60,56,56,56,59,57,56,56,56,56,56,56,56,55,56,59,52,56,52,56,56,56,56,56,56,56,60,56,56,56,59,64,60,64,64,64,64,64,64,64,56,60,62,63,63,63,63,63,63,63,63,63,63
ATR Multiplier for Trailing Stop,2,0.1,4.5,float,Trailing stop ATR multiplier - reduced max to prevent overfitting,4.3895,3.7146,3.7146,3.7146,3.7146,4.3789,4.3283,4.4321,4.2379,4.3726,4.3732,4.3732,4.2379,4.3732,4.4906,4.4321,4.4279,4.5,4.4227,3.5981,4.4227,4.3953,4.3953,3.2464,4.374,4.1636,3.8105,3.8105,4.3723,4.3739,3.6897,3.5196,4.4975,4.3211,3.1307,4.2466,3.9638,4.3706,4.3904,4.3904,4.2431,4.3718,3.7365,3.1954,3.1954,3.1954,4.372,4.3711,4.2203,4.3727,4.5,4.2361,4.0086,3.7365,4.0086,4.4678,4.3718,4.3718,4.5,4.3734,4.3734,4.3734,4.4345,4.3734,4.3734,4.4047,4.2128,3.3817,4.3294,3.3817,3.3817,3.3817,3.3817,3.3817,3.3817,3.3817,3.3141,4.3901,4.2594,4.327,4.1207,4.1207,4.1207,4.1207,4.1207,4.1207,4.1207,4.1207,4.1207
Trailing Delay (bars),5,0,20,int,"Bars before trailing stop begins tightening (0 = immediate, max 7 to avoid delayed trailing)",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
=== GA CRITERIA ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP_SIZE,300,100,150,int,Population size - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUM_GEN,200,50,75,int,Number of generations - reduced to prevent overfitting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CX_PB,0.7,0.5,0.9,float,Crossover probability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_PB,0.4,0.2,0.5,float,Mutation probability (increased from 0.35 for more exploration),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUT_MU,0,-1,1,float,Mutation mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
