Name,Value,Min,Max,Type,Description
Trailing Delay (bars),4,2,10,int,Bars before trail ratchet
ATR Multiplier for Trailing Stop,2,1.5,3.5,float,Trail distance if enabled
=== GA Criteria ===,,,,,
POP_SIZE,400,400,400,int,Population
NUM_GEN,200,200,200,int,Generations
CX_PB,0.5,0.5,0.5,float,Crossover
MUT_PB,0.35,0.35,0.35,float,Mutation rate
MUT_MU,0,0,0,float,Mutation mean
MUT_SIGMA,0.25,0.25,0.25,float,Mutation sigma
TARGET_TRADES_DAY,0.35,0.35,0.35,float,Target trades/day (sparse ORB)
TRADES_PENALTY_WEIGHT,0.35,0.35,0.35,float,Excess trade penalty
DD_WEIGHT,0.6,0.6,0.6,float,Drawdown weight
DATA_SPLITS,0.65,0.65,0.65,float,IS fraction per interleaved slice
DATA_SIZE,0,0,0,int,0 = full history
USE_INTERLEAVED_SPLIT,TRUE,TRUE,TRUE,bool,Interleaved IS/OOS
NUM_SPLIT_PERIODS,11,11,11,int,OOS slices
MIN_TRADES_DAY,0.06,0.06,0.06,float,Min activity floor (ORB is sparse)
MIN_PROFIT_PER_TRADE,25,25,25,float,Min profit/trade norm
MIN_TRADES_PEN_WEIGHT,-150,-150,-150,float,Low-trade penalty
NORM_SORTINO_MAX,8,8,8,float,Sortino cap
NORM_DD_MAX,80000,80000,80000,float,DD norm cap
NORM_PF_MAX,2.5,2.5,2.5,float,PF norm cap
NORM_TRADES_MAX,1.0,1.0,1.0,float,Trades/day norm
NORM_PNL_MAX,150000,150000,150000,float,PnL norm cap
NORM_PROFIT_TRADE_MAX,150,150,150,float,PPT norm cap
MIN_WIN_RATE,0.38,0.38,0.38,float,Min win rate (breakout skew)
SORTINO_CAP,8,8,8,float,Sortino cap
GA_START_DATE,2020-01-02,2020-01-02,2020-01-02,str,Backtest start
GA_END_DATE,2025-10-10,2025-10-10,2025-10-10,str,Backtest end
GA_LIVE_STYLE_ENTRY,1,1,1,int,LOCKED: enter signal-bar close
GA_CONSERVATIVE_STOP_SLIPPAGE,1,1,1,float,LOCKED
GA_CONSERVATIVE_ENTRY_SLIPPAGE,1,1,1,float,LOCKED
GA_CONSERVATIVE_CHANNEL_SLIPPAGE,0.25,0.25,0.25,float,LOCKED
GA_PESSIMISTIC_STOPS,1,1,1,int,LOCKED
GA_DIVERSE_SEED,0,0,0,int,Off for ORB v1
WEIGHT_SORTINO,1,,,float,Fitness: Sortino
WEIGHT_DRAWDOWN,-1.2,,,float,Fitness: drawdown
WEIGHT_PF,2,,,float,Fitness: profit factor
WEIGHT_TRADES,0.8,,,float,Fitness: trades/day
WEIGHT_PNL,1,,,float,Fitness: total PnL
WEIGHT_PPT,1.2,,,float,Fitness: profit/trade
MIN_TRADE_DURATION,20,20,20,float,Min avg hold minutes
MAX_WIN_RATE_CAP,0.75,0.75,0.75,float,Suspicious win-rate cap
LIMIT_MAX_LOSS,35000,35000,35000,float,Severe loss gate
LIMIT_MIN_SORTINO,0.4,0.4,0.4,float,Severe Sortino gate
ENABLE_FILTER_STACK_TRADE_PENALTY,0,0,0,int,Off
INTERACTION_PENALTY_STRENGTH,0,0,0,float,Unused
INTERACTION_LOW_TRADES_BASE,0,0,0,float,Unused
INTERACTION_LOW_TRADES_PER_FILTER,0,0,0,float,Unused
INTERACTION_MIN_FILTERS,0,0,0,int,Unused
