Name,Value,Min,Max,Type,Description
TARGET_TRADES_DAY,3.5,3.5,3.5,float,Paper fidelity soak activity target (~3-4 t/d; not for GA deploy)
TRADES_PENALTY_WEIGHT,0.25,0.25,0.25,float,Excess trade penalty
DD_WEIGHT,0.5,0.5,0.5,float,Drawdown weight
DATA_SPLITS,0.65,0.65,0.65,float,IS fraction
DATA_SIZE,0,0,0,int,0 = full history
USE_INTERLEAVED_SPLIT,True,TRUE,TRUE,bool,Interleaved IS/OOS
NUM_SPLIT_PERIODS,11,11,11,int,OOS slices
MIN_TRADES_DAY,0.3,0.3,0.3,float,Activity floor
MIN_PROFIT_PER_TRADE,15.0,15,15,float,Min profit/trade norm
MIN_TRADES_PEN_WEIGHT,-120.0,-120,-120,float,Low-trade penalty
NORM_SORTINO_MAX,8.0,8,8,float,Sortino cap
NORM_DD_MAX,80000.0,80000,80000,float,DD norm cap
NORM_PF_MAX,2.5,2.5,2.5,float,PF norm cap
NORM_TRADES_MAX,3.0,3.0,3.0,float,Trades/day norm
NORM_PNL_MAX,150000.0,150000,150000,float,PnL norm cap
NORM_PROFIT_TRADE_MAX,100.0,100,100,float,PPT norm cap
MIN_WIN_RATE,0.35,0.35,0.35,float,Min win rate
SORTINO_CAP,8.0,8,8,float,Sortino cap
GA_START_DATE,2020-01-02,2020-01-02,2020-01-02,str,Backtest start
GA_END_DATE,2025-10-10,2025-10-10,2025-10-10,str,Backtest end
GA_LIVE_STYLE_ENTRY,1,1,1,int,LOCKED enter signal-bar close
GA_CONSERVATIVE_STOP_SLIPPAGE,1.0,1,1,float,LOCKED
GA_CONSERVATIVE_ENTRY_SLIPPAGE,1.0,1,1,float,LOCKED
GA_CONSERVATIVE_CHANNEL_SLIPPAGE,0.25,0.25,0.25,float,LOCKED
GA_PESSIMISTIC_STOPS,1,1,1,int,LOCKED
GA_DIVERSE_SEED,0,0,0,int,Off
WEIGHT_SORTINO,1.0,,,float,Fitness: Sortino
WEIGHT_DRAWDOWN,-1.0,,,float,Fitness: drawdown
WEIGHT_PF,2.0,,,float,Fitness: profit factor
WEIGHT_TRADES,0.5,,,float,Fitness: trades/day
WEIGHT_PNL,1.2,,,float,Fitness: total PnL
WEIGHT_PPT,1.0,,,float,Fitness: profit/trade
MIN_TRADE_DURATION,3.0,3,3,float,Min avg hold minutes
MAX_WIN_RATE_CAP,0.85,0.85,0.85,float,Suspicious win-rate cap
LIMIT_MAX_LOSS,50000.0,50000,50000,float,Loss soft-gate
LIMIT_MIN_SORTINO,0.4,0.4,0.4,float,Sortino soft-gate
